,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-06-18_16-52-32,5.296750460665994,292899.9021649749,12409.279483678969,31593.982987155778,-75.20598906041086,504.93037832533105,35.874221544544206,78.81654140744523,14.274242426654434,292900.08488434704,12410.233534101975,31594.081297608387
2025-09-27_18-10-16,3.16444590995053,170817.6947131959,10272.765537402323,22688.161395743853,-23.476850851928766,516.8666269045777,62.92792982321494,83.05166318129676,14.534629981178671,170817.6990263381,10274.774493314188,22688.313403558204
2023-08-09_163741,9.49916275291789,23715.430600629887,2270.2941104305874,3705.722379487448,-20.816381607017853,124.06634281316848,-7.122286533316819,14.94077978884191,12.658696605727133,23715.431107692784,2270.56003570812,3705.7524985803907
2024-06-20_165550,6.554201240265786,542440.9891414371,25024.71371077651,52804.05754020987,-59.491371009979865,488.9477280726503,72.9808060639024,108.66556463349902,21.58651365339666,542441.0515765058,25025.94065622657,52804.16935162158
2025-07-31_23-36-03,8.640764698976177,398847.6306783274,38253.6233625155,71710.61377246752,-204.26531916925435,564.3396211039347,123.17395797633104,158.52841393079643,20.081432109810418,398847.6519308042,38257.42366586474,71710.7889991599
2025-03-01_150426,9.441684194803528,248281.89386604042,9496.881375063209,23995.90774346418,-22.262545328383297,438.6746906247954,23.61421649498847,60.77494125850448,9.482920049583708,248281.89700658078,9497.398956052662,23995.984706328043
2025-07-04_17-24-46,6.063279908482593,472288.9668495683,31480.918706928744,59774.61617784275,-11.522140587767462,505.091958506517,105.67869997195338,134.70815344996078,6.091864300027516,472288.9905265658,31482.60197724389,59774.76796688571
2025-06-11_20-34-24,,,,,,,,,,,,
2025-07-18_23-13-43,8.55690217155903,390374.3601575266,39942.6279844028,75923.0202828401,-21.135100623284245,479.41479459885426,124.21891663943013,157.46208082195045,21.273682351673813,390374.4584465619,39946.785602786855,75923.18356849537
2025-06-27_11-54-35,6.604247511330789,1065472.7403397546,18663.55585874066,59004.58029037203,-94.30467378354308,764.8633614892625,210.33044211351827,234.83779074007492,25.17308438623927,1065472.809449547,18676.545732844002,59005.04761485173
2025-09-26_19-03-38,4.7914544959521965,638087.9334201041,16241.24812602955,40905.650428324145,-416.4412725592437,819.7493998309609,80.2065152222421,213.50650443056583,15.150208007060142,638087.9400228395,16252.323907605969,40906.2076217252
2023-08-06_144805,4.320836941706151,371815.43665898225,20591.8561659862,42768.277470876215,-67.06862587361341,474.54422870884133,67.63423359898071,101.92457525032373,6.796521307357284,371815.49146812386,20594.208628296623,42768.39892309388
2023-08-09_124742,11.842311949739448,435274.5961389491,25573.00689324701,55655.83378370542,-59.89219616751994,534.7013806919978,44.2996368186753,95.94874606297854,19.296820253060265,435274.7266531463,25574.332032174996,55655.91648981549
2025-08-03_18-15-59,4.134986304902393,635558.2870754697,37451.93625884469,74678.08422373733,-207.51793353802177,567.3544208515839,102.4433258442747,141.7775506126601,16.831296577539,635558.2878878216,37455.1308065142,74678.21880710241
2025-11-16_16-08-14,4.121931674076944,870575.611345588,36190.85869687313,74149.32620979715,-212.3343943314744,445.14351077022457,48.055537591661164,110.18911449128208,26.05430722567285,870575.6181124444,36193.31744138315,74149.40808265338
2025-09-27_12-54-35,,,,,,,,,,,,
2025-06-14_21-17-02,93.36767560562798,2192858.500559433,697701.8594524772,1045587.3936824354,-6.574208249457307,470.22018117823274,31.49529778936011,72.84782388533476,93.50460168853769,2192858.5006314567,697701.8970174695,1045587.3962201503
2025-09-28_20-23-16,6.730974302776208,395363.25089383963,35036.455922734174,67191.42957912413,-205.85433031092037,494.7590165427465,96.89258355655964,136.10104606564184,22.288079659042918,395363.2585432583,35039.72649111513,67191.56742018403
2025-11-09_17-34-01,,,,,,,,,,,,
2025-03-01_164639,5.303631242960736,479992.84668648744,38374.84795422053,73310.73593155337,-38.930367922006326,539.5982631129752,117.41666382970581,149.34213924840725,20.22033662023245,479992.862130569,38377.229099439144,73310.88804468616
2025-06-18_15-09-25,7.359342929568378,381415.4182850349,25481.551628267247,52310.50494163012,-28.170551136925027,481.325183265499,63.35987425155854,102.72969466670601,10.112094734062177,381415.4675828867,25482.151931755783,52310.60581410309
