,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-06-18_16-52-32,0.02678631497022124,110.21957089312696,21.722119447377302,26.14160902039083,-112.39921454580885,1299.447257417363,399.9086658087149,628.9524337848495,1.2132522965665855,1299.6506538331173,420.80822419509,629.4954707430868
2025-09-27_18-10-16,0.16660052058685132,221.62075495236365,30.766212398536734,40.14464229091211,-138.94142430727342,1752.9924598607258,1060.7209275563905,1246.2917083301782,0.9365892298855252,1753.1102018065085,1073.4668107820762,1246.938095719759
2023-08-09_163741,0.0013958027315242832,68.35561029806006,17.750429943144656,21.168532822873278,-139.13506093912972,1370.248302783033,643.028517098945,837.3172131272864,0.09812603073116005,1370.2483163775164,653.8364802975864,837.58475522249
2024-06-20_165550,0.001036828205132258,97.39515775693508,24.11229883199611,27.330723082396275,-126.16093911018186,1263.6765123721386,91.81386021910872,334.0451573359432,0.04874704642936626,1264.108234941024,132.50466534368397,335.1613575038174
2025-07-31_23-36-03,0.0042350459724102485,87.11222210603087,24.075222505453265,25.766847884719443,-99.38426493429216,1048.6138115183703,227.05409553092898,385.83689770049415,0.6013446964247043,1049.7224640129373,241.93147277801026,386.6963176409311
2025-03-01_150426,0.0008838855715155046,133.40753096589432,21.55160301136766,24.804036090766083,-81.65608481717061,571.9509546556523,1.118573260855448,24.535780355866024,0.018970397195863423,571.9522668133686,23.922026069455804,34.88903443867897
2025-07-04_17-24-46,0.00945193419824862,173.419973127112,25.673898695158414,30.14772166164087,-89.99294194939266,1146.590075712867,42.187351377516514,181.96203320672976,0.18702888927977337,1148.06699453049,68.51245503685408,184.442583613749
2025-06-11_20-34-24,0.0,66.28040308853524,6.0877149465994185,10.988782895048683,-119.5907270938328,79.98550205464952,-9.493444732575725,19.799592452999114,0.11029862002237173,119.60697386763957,17.682338003741133,22.644584580410697
2025-07-18_23-13-43,0.03250165947122954,112.46480173876728,29.535932626825655,31.270293513708125,-69.4837056435938,1033.1713999341932,118.32455108245443,290.6497276365514,0.2751745397136715,1033.314751516999,145.39899646861357,292.3270350679782
2025-07-08_14-12-53,0.05460596191048064,225.22519563119454,43.32376012878495,58.50965560989623,-116.89889987479847,1071.2520679610311,56.4888240323474,156.59819739422505,0.9506214073299574,1072.0322012436898,91.10425496412103,167.17169385607522
2025-06-27_11-54-35,0.0023559309228222683,258.0945197278286,26.67266442775775,32.41920125937781,-142.35751860022663,1945.2638064792352,728.7923080290658,1043.8129709894858,2.484972517699526,1945.3586135250052,735.5790805180362,1044.3162945277609
2025-09-26_19-03-38,0.0006875580268191814,84.24179279990518,31.22360557618009,33.131414165936675,-481.98933854335456,2023.1181693418189,1088.615418491872,1312.877159550338,1.1315452414486524,2023.1318213348218,1147.9459125857313,1313.295140733262
2023-08-06_144805,0.009733879970315685,131.24379578861897,20.60387450291714,23.756756687363506,-163.88515749683665,1393.862228819452,972.4114980955871,1022.3241709433368,0.7872353950073363,1393.863423556844,977.0713656754926,1022.6001633010251
2023-08-09_124742,0.008938719654026985,97.58676267067534,13.544767878501572,19.830272634385192,-144.19358575938747,1319.8550238714931,298.3268747167344,546.8432169923857,12.518404800983664,1319.8550309898233,340.06793544665874,547.2026532129897
2025-08-03_18-15-59,0.007163442066830208,121.72786303248589,21.24315544244189,24.27850712558848,-124.39783924792144,1003.4618013657209,38.3118324844439,166.51612213024612,0.14095229707244647,1003.6740663048033,65.28602528586879,168.27675073385004
2025-11-16_16-08-14,0.02673140725378855,160.95357831689182,22.377028376854863,25.917416911682743,-84.12854876802658,1008.5124290660312,269.51930865784146,431.5077674838169,2.5719184016089103,1008.8282197410682,295.7421883722624,432.2853986641715
2025-09-27_12-54-35,0.0007613030786264104,153.14963240334723,25.445920131147357,27.391763609287896,-99.11135820792103,995.0596235845202,-0.6889309092208374,56.60708288111998,0.1393643976984657,995.0624481078164,32.74427916223772,62.886171341059516
2023-08-04_214758,0.02307467463800383,691.782601633104,30.203531750601538,38.67966061906846,-160.17525792146827,1241.685516820917,459.01336722922093,694.8214895115981,0.1774992971497235,1242.358328855845,479.205790296585,695.8972757761896
2025-06-14_21-17-02,1.6626154810222187,8441.237031473785,627.2589981245036,1582.3835288255434,-37.73497999040772,175.41440510436996,7.909416865868985,32.5477884088779,6.207444355546314,8441.750680138279,633.2926999621109,1582.718228500793
2025-09-28_20-23-16,0.007794390488406672,163.10344933098835,24.88592326130814,27.458800381831573,-104.78202937784368,1043.8047272187796,20.797645916875265,128.8501122116049,0.3654018386107253,1043.804847809354,52.36472078263661,131.74345196385457
2025-11-09_17-34-01,0.00012506354119481205,101.25881955799487,26.29194504489751,28.384026928010705,-78.60783860897772,1391.8635575049154,16.934143328167945,105.2190215629173,0.08760162615344555,1392.1908066496737,45.91354469234747,108.98025272180136
2025-03-01_164639,0.04768312662156292,108.12873044755334,22.512012542187463,25.11212955274654,-39.417635439258774,1234.5764684081892,335.5385373227802,515.4102656165932,0.3029902889201166,1234.6171881713785,348.46236878136125,516.0216671358297
2025-06-18_15-09-25,0.013429405085938829,140.57266166028552,31.491285230478432,34.29579934092806,-112.82459896873934,1268.0143518373072,10.803078596232163,138.93884750825114,1.1044115213071253,1268.014352080235,57.296921786767626,143.10906749522994
