,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-06-18_16-52-32,2.3139383886072737,27666.462865227626,2427.001932305637,4536.721651492896,-77.48714079195634,100.2549163158983,-8.075378739491473,12.630244754248148,4.909946802130513,27666.463950797854,2427.322409638545,4536.739232775781
2025-09-27_18-10-16,11.65091421340289,15125.888347121798,1886.682674597781,2958.3372499844313,-30.308578885509636,105.4389224606566,16.018482186251468,27.579371490770075,15.89973976646903,15125.904367279989,1887.3804456076784,2958.4658028067984
2023-08-09_163741,7.749380477149794,13499.52647294056,989.999204510497,1773.146094811978,-21.815157516491162,76.38770458832522,-10.09575837830223,12.174293118276028,11.705483844567363,13499.526483067453,990.3260911628474,1773.187888228401
2024-06-20_165550,5.041804881961794,26889.480129161188,2811.878964961323,4285.244462833261,-51.17843133376432,166.76714856266483,-10.793041669213107,17.335110855240714,7.205461904086797,26889.480667972985,2812.2996598000846,4285.279525574906
2025-07-31_23-36-03,3.6844781562311035,66729.71408388387,5035.326151244842,8532.864522304406,-175.13803981337696,125.99345271103084,9.611499604620137,23.616874570228624,7.601551049180825,66729.71659292316,5036.30411453634,8532.89720509779
2025-03-01_150426,3.691310850206285,35952.836501013255,1814.4492261346404,3339.195620604235,-26.745766357361447,109.10985678082835,-3.93436897496485,10.859741775068851,4.095318952242653,35952.85326370652,1814.6520854574846,3339.2132795995412
2025-07-04_17-24-46,5.756962951160295,23547.769774146498,1233.9085898022388,2335.939836021026,-27.0862318649597,32.51209029252641,5.733267579251206,7.955247927862335,5.784796989591621,23547.77034709164,1233.9890654697374,2335.9533821289187
2025-06-11_20-34-24,,,,,,,,,,,,
2025-07-18_23-13-43,8.143044332437151,14753.725064487511,1517.7874743146035,2445.317428179675,-44.753428106196225,76.40577189787291,2.2017509094744594,12.028589089876615,8.522794996328326,14753.79187921167,1518.1350041637406,2445.3470124942905
2025-07-08_14-12-53,4.632161368094931,319123.2270042927,13244.670350735538,29729.45268650143,-21.652430335059762,249.82462208392099,0.6763210814324264,17.927309663053926,7.636257265565278,319123.227408023,13244.706366386923,29729.458091720393
2025-06-27_11-54-35,2.5916811326975484,1065887.0870276517,5617.245989767987,42014.98480210173,-91.6506353286095,499.2289593815804,156.01935852505747,166.34734134525476,18.943046635931857,1065887.1156017773,5636.902000230312,42015.314105202306
2025-09-26_19-03-38,4.855867806818481,692820.140189962,3729.9575297476335,9770.881525335157,-8362.258600968868,255400.60610783007,45.12088775943074,2148.9282945331133,14.63846177379917,692996.292287821,3752.571719909932,10004.399961875819
2023-08-06_144805,3.1816223208735184,77361.67858103236,5007.3057319870595,8132.443474674573,-97.18501303036398,134.25520071346205,-21.977759374241355,26.46711028513174,23.323861183662995,77361.67859157201,5007.852548880329,8132.486543284525
2023-08-09_124742,3.463827567417644,75201.28491542056,1728.9893827024855,6034.025481374851,-61.96360647069902,76.61374133105382,-39.80596317431788,41.55899327391177,19.43747871676252,75201.28966430498,1731.7101448677295,6034.168597230519
2025-08-03_18-15-59,2.4827274935063106,1048035.9134538134,3722.0943531051184,11172.899620638595,-674693.0456742798,228054.7853724761,-36.58520876357324,5836.33478003367,8.850981640376297,1246430.8973104786,3741.961702716834,12605.415090249773
2025-11-16_16-08-14,2.3934924903170582,35245.72990525751,1862.8348701816074,3283.8034245121507,-197.26117404177785,92.55781975574791,-59.07990081976092,61.83800060469919,10.639876169389131,35245.751734752535,1868.3274838939665,3284.3856151731816
2025-09-27_12-54-35,,,,,,,,,,,,
2023-08-04_214758,6.4437991918060735,123147.66814744915,4332.808544938605,13223.382311513667,-20.057356535738023,191.33244642710366,-0.16543425425934669,12.718785936825824,6.67535700091015,123147.68186047628,4332.933629304717,13223.38842823458
2025-06-14_21-17-02,78.9989056587601,226585.57545259743,52467.269223914045,86855.5734849192,-9.288430562750378,86.46927527454682,10.3663230830401,14.16914667163024,78.9993424972838,226585.5763143151,52467.31675298934,86855.57464065801
2025-09-28_20-23-16,1.4029575833542003,24234.07613795285,2399.8287377674833,3863.4656984702674,-177.63933315314353,115.24181030248292,-9.103334562937643,22.251748021798136,4.220172132160962,24234.076418413573,2401.5548972873203,3863.529777748112
2025-11-09_17-34-01,,,,,,,,,,,,
2025-03-01_164639,5.786609805993623,52509.92163672299,4662.44769957242,8055.2480728797345,-29.685050369437477,137.75362559139484,1.7054417553959074,12.205767819698366,8.479096495280043,52509.92578382302,4662.583564029161,8055.257320309561
2025-06-18_15-09-25,6.162068658528076,91396.4023317719,4482.806551781064,7996.1321103085675,-58.435826163738966,111.53454953548498,-4.436218790866161,13.972168004138538,13.594682532432488,91396.40252288233,4482.912668103608,7996.144317543704
