,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-06-18_16-52-32,0.00019859917477671146,42.27908291300704,18.72429822922137,21.485840739360867,-68.38507147761993,83.41088005295023,-4.870092510209838,7.889138351825986,0.05146737423906448,91.08467349847656,20.68345107630599,22.888421881192045
2025-09-27_18-10-16,0.04618726763015642,36.42620127836838,21.148011616022764,23.636257079233022,-43.01983298663981,47.3191230550874,11.23123758456038,22.43587773447252,0.8122235511079743,50.54010270570113,31.08462132277506,32.58897449187061
2023-08-09_163741,0.002651131100854689,31.620723401534747,16.16005869219074,18.844052803697267,-21.834187692655092,43.34591030713976,-6.321900901611411,7.5860541644143895,0.2727215611500868,51.72147705669372,18.37105608284245,20.313703351529966
2024-06-20_165550,0.0012129640978816546,38.07198967123984,23.067242731330296,25.789466144844177,-47.739135398951646,575.507720400722,-0.2555577805701544,63.97727912819975,0.029244929630248735,575.5178675687232,35.94760893434988,68.97962604047406
2025-07-31_23-36-03,0.0018248414336861799,35.20731750220292,22.793154621172803,24.429287587086478,-16.363832763279788,326.40097943134606,4.110481690360019,18.74415171944984,0.24650631042332002,326.43843692805166,25.22563361364851,30.791773506804248
2025-03-01_150426,0.011790325267565177,38.070248485358626,21.223257598865196,24.307053822892712,-38.37388585565998,291.87041235712655,-0.16508751384010092,16.475170966983903,0.16506985055700277,291.89636934646893,23.88345886862827,29.36433421585363
2025-07-04_17-24-46,0.0026598857415606504,37.22719767538541,22.170323051016045,24.751379639801133,-12.880782137159258,23.46992672164925,2.814469271978833,4.138362475432105,0.6891825259168796,37.30034537996406,23.176640378561263,25.094956426573578
2025-06-11_20-34-24,0.0001759029597183465,43.757506488782795,4.463717404878585,6.48741639380954,-33.60062108444981,270.7370512932539,-0.06559756445302047,38.00569192915714,0.1532051888819321,271.09109779498704,19.802873258585976,38.55540416699931
2025-07-18_23-13-43,0.01400052180669451,39.86795848944148,27.589057682743498,28.875586227667412,-17.667294713668525,315.18014957010746,3.3454291667586915,21.748472790054546,1.0021720318339844,315.5916221178731,30.885565480509957,36.14962722755518
2025-07-08_14-12-53,0.004781236824085995,76.23143103640881,16.070162227542063,19.3752798679585,-35.82964934501797,151.54064753931016,-1.3177036038658632,7.3361202170633515,0.04771210090092308,156.91250509526355,17.423599895930863,20.717628479170187
2025-06-27_11-54-35,0.016844509617154634,94.55722573194437,23.157663452190654,25.853484496973127,-92.83416623203084,684.6396685577929,149.06147056415477,159.8372763408572,3.610798869826629,685.6024582810292,154.9115740283607,161.91466137659916
2025-09-26_19-03-38,0.00034981520482451657,42.91200160758318,30.19427673926369,32.18520098812726,-455.00838525407016,305.6981012802571,13.11481685299864,169.77190313321978,2.3048462490181496,455.0084736076135,145.17028426530567,172.79579351396697
2023-08-06_144805,0.0007627235521852221,38.88115088518877,19.243795992759527,21.96522376325266,-26.789287811358875,410.76122103819387,-11.101418541148872,29.912330006020543,0.5585321107272029,410.98341461614143,27.63933022964418,37.1108951840135
2023-08-09_124742,0.004133519370412865,225.08497983393173,7.713987196607274,12.434030412302791,-145.57834890574605,820.766908311856,-9.134035190449435,76.05060750739824,0.4123144698681863,825.3596923754549,44.05686085844632,77.06036604207385
2025-08-03_18-15-59,0.00016126366518013854,36.22972749824564,20.1553559747258,23.059859330774934,-17.484074439504184,113.49275510851294,-1.9602791611496864,3.3937257104166116,0.012531104053391364,113.64108028973834,20.605000220470586,23.308249324062725
2025-11-16_16-08-14,0.0005913597924139714,50.13609605944662,20.80225191712182,23.50209780245938,-64.02049533696844,204.259036549367,-14.848362435812179,19.260418828023973,2.563343734248252,209.85645370048627,28.334590989629454,30.386054935566516
2023-08-04_214758,0.01955881427347872,37.73505647556835,20.321596415445793,23.36195086211455,-40.66957448505029,747.3152334529183,4.9565130937778585,51.64767357425291,0.20514831504922323,747.3242798716169,27.765403794504962,56.685650156952754
2025-06-14_21-17-02,0.07005758704719463,1245.7707323926682,106.25916678710797,256.0704104665468,-8.060868355445564,69.14298312686151,1.4711555462446286,6.678808923618176,1.3807520267945093,1245.7717320580437,107.49307018711534,256.15749375168383
2025-09-28_20-23-16,0.0010524693531275388,38.35050738430158,24.059274177789867,26.464252542313492,-179.38626006618142,140.42509896909178,-2.6287550685393843,12.203416791738066,0.07682272299203258,179.42037707813725,26.283413247784413,29.142409715331034
2025-11-09_17-34-01,0.0009742155056507455,37.99617746806069,25.384789491239047,27.123805573920166,-48.356779927387834,178.62623741384596,0.0248984210332403,11.305929955079197,0.025643664070630026,180.10625566090192,27.081195830637082,29.385793863038305
2025-03-01_164639,0.007272491947047595,38.38083259985321,21.458389903905488,23.6765045840549,-41.746083241417466,165.16293116757174,0.926502860263941,15.433786899107657,0.2662771405926728,165.18983230619878,25.684329365208942,28.26267233235102
2025-06-18_15-09-25,0.20513707998002834,42.49933022584451,28.43031624675971,29.55467854367501,-49.93937079701573,553.1833890043199,1.5481200028844906,44.31185844390839,0.3054161086802816,553.1890468448672,36.32845051431348,53.2636820223024
