,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-1734552.0375392043,1.7230476811550375,-782944.5300828598,-918883.0250464282,-17.42802312437615,10.626547968310351,-0.6642862773404116,-0.05323973693057482,-1734552.0349792163,1.723830974231653,-782944.514106164,-918883.0250464282
2025-06-11_20-34-24,-41293.05835135194,79.74020157824611,-19513.189287286852,-23774.98155521945,-31.46822564760787,58.98855109855657,26.07850208525439,0.42557146221854936,-41293.051041910556,79.73760180395533,-19512.87966671625,-23774.98155521945
2025-07-08_14-12-53,-4882905.4666353585,-1.5190024100287935,-2010432.5224106973,-2567613.6545424196,-17.415924032983185,16.085972055426318,3.7758125449147752,-0.4470054269207182,-4882905.466566894,-1.5214378138687579,-2010432.4841716734,-2567613.6545424196
2025-11-16_16-08-14,-4088464.930806005,811.0016770863456,-1877011.034376481,-2259714.0433489624,-25.33724817449145,89.4547653854894,62.3107149621412,0.0327983060607977,-4088463.756410418,810.8166664947255,-1877009.0229366152,-2259714.0433489624
2025-03-01_16-46-39,-458353.38273600827,10.222203982522835,-277725.14730635623,-306778.75477746164,-20.509810345391543,15.909889777956018,0.30278373421293364,-0.2467101246453698,-458353.3595678725,10.21681082229049,-277725.0775032255,-306778.75477746164
2024-06-20_16-55-50,-5764711.531965159,13.893884040432546,-2543154.4891196275,-3049847.16492622,-12.984226622544725,33.960367643504966,13.505628468037688,1.4236602746357327,-5764711.511145018,13.892891424310108,-2543154.260100379,-3049847.16492622
2023-08-04_21-47-58,-3658461.6258783434,0.05591912411006206,-985196.0687308944,-1312819.8868427617,-27.875112237152166,18.512849082324678,2.3191631411239872,-0.6009181933803553,-3658461.5787127595,0.055934454403825384,-985196.0396711119,-1312819.8868427617
2025-09-28_20-23-16,-5074212.55654092,0.17012120439796163,-2391065.812061216,-2843272.968462759,-8.52816933479653,27.00857199704204,12.102283569456867,0.13989736077034642,-5074212.555632383,0.18286724434291735,-2391065.7693053684,-2843272.968462759
2025-07-18_23-13-43,-1682910.2894555926,2.0658821596603882,-716311.6246540891,-862990.5919704027,-27.971100992211063,15.952272336567248,-0.45696539913467316,-0.04958428577023888,-1682910.2695766978,2.091739081937096,-716311.5536408245,-862990.5919704027
2025-08-03_18-15-59,-7531752.625022413,1415.013239050607,-3345256.1844152072,-4112063.008209724,-4.244937580728159,27.05944585924661,10.879400173328886,0.24289319237219864,-7531752.608498056,1415.0112702583986,-3345256.1193021666,-4112063.008209724
2025-07-04_17-24-46,-1817807.5762710113,6.150567642567669,-795029.83453806,-945170.1133557865,-19.782423797381725,13.762911485548138,-6.001647517543664,-0.5274082411616243,-1817807.5351498246,6.14514820938464,-795029.7883507309,-945170.1133557865
2023-08-06_14-48-05,-3836260.042319759,39.82459949572899,-1804209.6113379782,-2127073.7538274797,-1.3834354064950958,43.12005744340863,25.65422059152693,0.49730516588723006,-3836259.9568870217,39.82433824390182,-1804209.0262064415,-2127073.7538274797
2025-07-05_20-59-22,-2502156.5552706392,4.375466091564849,-1456785.2355887832,-1725345.9704307579,-21.03782815198965,26.677024000877537,5.071981241594848,0.5571994173094001,-2502156.5474258685,4.357974068975526,-1456785.14979683,-1725345.9704307579
2025-09-27_12-54-35,-4109993.4293121565,4.861174249562339,-1947332.648255058,-2339043.7921286644,-14.433809536759071,52.56619046324093,2.110960141499261,0.07121082152648439,-4109993.425229444,4.865597880477495,-1947332.6392483315,-2339043.7921286644
2025-11-09_17-34-01,-4140202.3971856358,-0.47353353198747783,-1285248.0757831384,-1687830.0161132717,-32.92219300530158,26.07780699469842,5.409815133354609,0.0322358416477293,-4140202.3971148063,-0.4753540658161697,-1285248.0500170218,-1687830.0161132717
2023-08-09_16-37-41,-148813.70244288223,143.72146176707292,-34504.97325584934,-59981.531794928946,-7.0497643764834095,20.849734257405792,10.743489137710844,0.09558460890083254,-148813.66078369925,143.70556234556807,-34504.821193567965,-59981.531794928946
2023-08-09_12-47-42,-1017667.172769879,-2.977256708639647,-573429.9725861166,-661529.9212471743,2.421462548668586,60.396610617528374,42.13955496759779,0.36675281070300514,-1017667.0110725529,-2.9507573382436867,-573427.8831876921,-661529.9212471743
2025-06-18_15-09-25,-292135.5101398774,278.7401630095194,-161424.25396550473,-175178.7718662795,-38.77787183401268,42.77635230236923,9.968033215156874,0.06732360327535858,-292135.4931006354,278.74012280260797,-161424.23786186203,-175178.7718662795
2025-07-31_23-36-03,-6097090.628244872,0.10557492715065209,-2793220.990352026,-3356736.0064786375,-29.066841219285593,9.276750092552868,-9.849466638039269,-0.30620739840406586,-6097090.582945394,0.1498792937098532,-2793220.911950627,-3356736.0064786375
2025-03-01_15-04-26,-132648.32452497524,2.686878776985937,-66576.86212705694,-75386.53766841571,-12.997850296713665,19.031013496203173,5.560513042265559,0.0013064347594626824,-132648.31569181682,2.6808168539180883,-66576.80083180874,-75386.53766841571
2025-06-18_16-52-32,-2013266.8185627232,1036.2087087138307,-1321405.3958234491,-1476383.8170291209,-16.793723410547727,29.224524662400377,10.362895998833517,0.5199696985965421,-2013266.1433313275,1036.2036597872375,-1321405.354050437,-1476383.8170291209
median,-2502156.5552706392,4.861174249562339,-1285248.0757831384,-1476383.8170291209,-17.42802312437615,26.677024000877537,5.560513042265559,0.06732360327535858,-2502156.5474258685,4.865597880477495,-1285248.0500170218,-1476383.8170291209
mean,-2887628.0098747914,175.02055237183484,-1294228.4787200396,-1561991.0058478178,-18.318867259225474,31.09069241006979,10.767449970828114,0.10499814521482187,-2887627.900376795,175.01458003213298,-1294228.2015053006,-1561991.0058478178
std,2123698.8752604383,379.38529902399847,936099.2789304642,1139064.4350146933,10.407214676501326,19.285932884650876,15.797088639858503,0.42805018539228545,2123698.8626871477,379.3687976596301,936099.2903629864,1139064.4350146933
