trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,1598.5917309883332,1254.1567628036264,914.6950316118597,991.2549302264295,4743.667370116901,7.342829679259744,920481.6167774166,784198.6868456632,787953.0420940756,481994.63313890144,1736127.4847809472,13.83061867425081,-918883.0250464282,-782944.5300828596,-787038.3470624638
2025-06-11_20-34-24,2374.9845303254574,1850.187431634085,1288.6177679248453,1489.0795771578164,7039.292361429547,10.679559301360706,26149.966085544907,21363.37671892094,20163.50879993887,15080.678414468484,48221.64352301663,10.42084805924215,-23774.98155521945,-19513.189287286856,-18874.891032014024
2025-07-08_14-12-53,2319.5081668102225,1800.451369615363,1330.893643555294,1462.3587116537046,6205.1075426186735,5.0728626278750175,2569933.1627092296,2012232.9737803126,1744242.0458880793,1598585.2870660052,4888288.459414105,29.31609264845508,-2567613.6545424196,-2010432.5224106973,-1742911.152244524
2025-11-16_16-08-14,4641.662688809402,3049.410053865616,1740.8676200435991,3499.4472192145763,18239.48209688813,14.336298424260823,2264355.706037772,1880060.4444303473,1681138.120515094,1262014.0604423485,4090480.9227062534,34.513027764684495,-2259714.0433489624,-1877011.0343764818,-1679397.2528950502
2025-03-01_16-46-39,1587.9055410083124,1235.1248904855947,942.2032368625432,997.9531612595097,5233.842681374626,0.339188522438775,308366.66031847,278960.27219684183,311532.7682382085,131419.79961874298,459670.5591377787,15.076456003106196,-306778.75477746164,-277725.14730635623,-310590.56500134594
2024-06-20_16-55-50,5567.542185155828,3350.1825095734207,1894.488210000359,4446.774464264864,25892.281473318577,7.576877434296642,3055414.707111376,2546504.6716292016,2388014.4717955654,1688452.8390817286,5771984.166912541,17.609019023992186,-3049847.16492622,-2543154.489119628,-2386119.983585565
2023-08-04_21-47-58,16784.708695455847,8783.685607690864,2400.741828796188,14302.912750085401,82849.79727549806,4.721060678335105,1329604.5955382176,993979.7543385852,777551.2724369792,883092.6499758408,3666675.5094519877,19.15399553655171,-1312819.8868427617,-985196.0687308944,-775150.530608183
2025-09-28_20-23-16,7661.903576488501,5629.638006431678,4149.101097682731,5197.301447092256,21345.615779452473,15.11553379666832,2850934.872039248,2396695.450067648,2429454.324821957,1543917.2789480914,5079008.080985415,14.945412592270358,-2843272.968462759,-2391065.8120612167,-2425305.223724274
2025-07-18_23-13-43,4651.3934241139805,2761.168732676931,1323.5630603447455,3743.181536551233,17710.381590147004,5.485514306027569,867641.9853945167,719072.7933867661,663076.175914709,485527.47875922744,1696464.2027693335,12.379728122203753,-862990.5919704027,-716311.6246540892,-661752.6128543642
2025-08-03_18-15-59,3068.09489880716,2419.5003485152915,1956.7789479801213,1886.5906741052484,9649.511175999862,12.42426371344716,4115131.1031085313,3347675.6847637235,2865229.67642804,2393192.7430553883,7534028.32647029,21.946435204264738,-4112063.008209724,-3345256.184415208,-2863272.89748006
2025-07-04_17-24-46,1547.8932951097977,1188.0886336163103,869.8811236928702,992.1789413798282,5274.130072692941,5.614270869468643,946718.0066508964,796217.9231716763,804588.7532366156,512164.0390902404,1820389.9093905631,6.544153205064951,-945170.1133557865,-795029.83453806,-803718.8721129227
