,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-08_14-12-53,-318754.2977316675,4977.711480940289,-11426.335804627277,-27409.94451969121,-17.415924032983185,16.085972055426318,3.7758125449147752,-11.451382630242882,-318754.25173387554,4977.114394656829,-11426.33325028413,-27409.94451969121
2025-11-09_17-34-01,-40431.305778733076,31776.32993113853,1233.0819907523614,1439.6948944026572,-32.92219300530158,26.07780699469842,5.409815133354609,-13.206336245372963,-40431.30491115234,31776.32872070687,1232.0866193137851,1439.6948944026572
2023-08-09_12-47-42,,,,,,,,,,,,
2025-08-03_18-15-59,-1043732.3689832349,8565.124589998368,-1302.5940045898271,-8104.804721831435,-4.244937580728159,27.05944585924661,10.879400173328886,-5824.239692613689,-1242127.3354859757,8396.75140848929,-1322.3961732715914,-8104.804721831435
2025-07-05_20-59-22,,,,,,,,,,,,
2025-07-18_23-13-43,-13275.288298604086,16333.58977377766,1243.3812583623278,2206.0759959343054,-27.971100992211063,15.952272336567248,-0.45696539913467316,-1.3332943285155618,-13275.354380132023,16332.123364784507,1243.1049580805607,2206.0759959343054
2025-03-01_15-04-26,,,,,,,,,,,,
2025-03-01_16-46-39,,,,,,,,,,,,
2025-09-27_12-54-35,-4478910.04986535,50673.22771163315,-12483.744068692236,-216637.8779620887,-14.433809536759071,52.56619046324093,2.110960141499261,-384.53221342446784,-4478910.034802463,50668.80401946163,-12484.225470021342,-216637.8779620887
2025-07-31_23-36-03,-61062.72885289698,10020.289754931546,-2278.512951094131,-4906.648156280495,-29.066841219285593,9.276750092552868,-9.849466638039269,-10.053408030477161,-61062.731170038445,10014.172336011365,-2279.4125285070545,-4906.648156280495
2025-07-04_17-24-46,-21907.44775779058,4199.47225849903,-45.819956185928554,-788.0465409112285,-19.782423797381725,13.762911485548138,-6.001647517543664,-0.37914115444544194,-21907.440126651574,4198.924364535701,-45.8528854739891,-788.0465409112285
2024-06-20_16-55-50,,,,,,,,,,,,
2023-08-06_14-48-05,,,,,,,,,,,,
2025-11-16_16-08-14,-30256.07689328814,17677.254100834394,1186.5751836840088,1357.8592642972517,-25.33724817449145,89.4547653854894,62.3107149621412,1.1994895217513246,-30255.875423189325,17672.842578896772,1183.1052524825416,1357.8592642972517
2025-07-11_13-33-16,,,,,,,,,,,,
2023-08-09_16-37-41,,,,,,,,,,,,
2025-06-11_20-34-24,-31105.397241629926,5922.167547493571,-3429.6197252077072,-6276.693700054084,-31.46822564760787,58.98855109855657,26.07850208525439,0.340431231962782,-31105.084433026925,5922.132615533405,-3430.021297836806,-6276.693700054084
2023-08-04_21-47-58,,,,,,,,,,,,
2025-06-18_15-09-25,-55263.47832667086,44594.03087237078,12543.925928740016,13830.23662320905,-38.77787183401268,42.77635230236923,9.968033215156874,-2.840352389246023,-55263.477667751635,44593.99936775253,12543.83676079384,13830.23662320905
2025-06-18_16-52-32,-21476.99274670524,22284.875516682085,3838.057339321685,3702.4161950131374,-16.793723410547727,29.224524662400377,10.362895998833517,-0.7170421833461376,-21476.982445900212,22269.084223931277,3837.7797281540998,3702.4161950131374
2025-09-28_20-23-16,-23481.57493587998,19928.128623663877,3229.809268664195,3798.4378780182337,-8.52816933479653,27.00857199704204,12.102283569456867,-9.146551425334863,-23481.435057783106,19927.51281512187,3228.126046954039,3798.4378780182337
median,-35768.3515101815,17005.421937306026,570.3776137490402,284.9063616930116,-22.559835985936587,27.034008928144324,7.6889241742557415,-5.993451907290443,-35768.19467208964,17002.48297184064,568.6261835042762,284.9063616930116
mean,-475032.7199171255,19535.20185378995,-547.8013790094977,-18269.568337560726,-22.25402342708025,33.482163358560186,10.33686634180604,-481.71945735220874,-490293.80787000235,19519.405629363282,-550.1212350855208,-18269.568337560726
std,1187477.4898490615,14192.305429413858,6129.806533932259,57980.254885989525,9.582279577938113,21.5128849940102,17.288435578300824,1545.5512834905367,1195932.9789887774,14201.91561443814,6129.863581319371,57980.254885989525
