,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-55163.19579614854,3787.5615722160837,-2830.4889845786115,-4995.810630574054,-17.42802312437615,10.626547968310351,-0.6642862773404116,-6.553762132045929,-55163.18764332181,3781.702054751124,-2830.5989442028217,-4995.810630574054
2025-06-11_20-34-24,-30866.43547097229,6828.620731300751,-3163.6663603252086,-6127.440071795991,-31.46822564760787,58.98855109855657,26.07850208525439,0.3403913845729356,-30866.12270300009,6828.59752129151,-3164.42948068758,-6127.440071795991
2025-07-08_14-12-53,-316628.58522179787,6009.394881499583,-8559.645051742113,-20003.81914195753,-17.415924032983185,16.085972055426318,3.7758125449147752,-13.653450667553898,-316628.539226727,6009.3772417981145,-8559.659709377334,-20003.81914195753
2025-11-16_16-08-14,-29822.796011887862,17676.157377318516,1180.0204734466704,1352.7653964188212,-25.33724817449145,89.4547653854894,62.3107149621412,1.1556586709759387,-29822.5947905801,17671.7899617634,1176.426705295665,1352.7653964188212
2025-03-01_16-46-39,-51062.550008254046,4430.897836353398,-3346.3539189764265,-6282.839791192435,-20.509810345391543,15.909889777956018,0.30278373421293364,-4.414060631919792,-51062.55199345312,4430.503695479565,-3346.432330737848,-6282.839791192435
2024-06-20_16-55-50,-25140.876779719496,24174.8339273968,639.174567675294,1399.4848815595115,-12.984226622544725,33.960367643504966,13.505628468037688,-0.28417006196062644,-25140.877321766566,24174.760248945615,638.8878404039878,1399.4848815595115
2023-08-04_21-47-58,-80067.10779497074,77869.98326266931,4637.570180985897,4264.956680995849,-27.875112237152166,18.512849082324678,2.3191631411239872,-5.5675230071392185,-80067.12122310084,77869.97479401287,4637.452126700675,4264.956680995849
2025-09-28_20-23-16,-79417.729883947,19935.87738860096,1911.3568635408215,59.617152187532156,-8.52816933479653,27.00857199704204,12.102283569456867,-13.354328996939152,-79417.68445917715,19935.48100600763,1909.6151461372956,59.617152187532156
2025-07-18_23-13-43,-13272.06995420528,16347.597906917876,1246.7755208418496,2210.624157803198,-27.971100992211063,15.952272336567248,-0.45696539913467316,-1.333290071323466,-13272.136050358102,16345.793654052335,1246.5006923733386,2210.624157803198
2025-08-03_18-15-59,-69852.01602763803,8663.323638711689,-1525.346479947753,-4137.585634665364,-4.244937580728159,27.05944585924661,10.879400173328886,-11.703317791719513,-69852.01523199513,8556.898170552779,-1526.5982876270489,-4137.585634665364
2025-07-04_17-24-46,-21288.921704802447,4212.531579129813,36.254560236448555,-658.9357473489531,-19.782423797381725,13.762911485548138,-6.001647517543664,-0.3688524679801164,-21288.914089148526,4211.8312603312115,36.21719587645397,-658.9357473489531
2023-08-06_14-48-05,-72387.52073373728,6018.794833233643,-3269.2388816535854,-6983.630737308785,-1.3834354064950958,43.12005744340863,25.65422059152693,-0.8923645953097257,-72387.52909757044,6017.36980130069,-3269.390108598931,-6983.630737308785
