trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,1598.5917309883332,1254.1567628036264,914.6950316118597,991.2549302264295,4743.667370116901,7.342829679259744,6594.402361562387,4084.6457473822375,2264.5990564487656,5177.046612169122,56579.81596226412,6.176998833543902,-4995.810630574054,-2830.488984578611,-1349.904024836906
2025-06-11_20-34-24,2374.9845303254574,1850.187431634085,1288.6177679248453,1489.0795771578164,7039.292361429547,10.679559301360706,8502.424602121448,5003.826718193278,2425.7658579956656,6874.077559138765,32057.176809474295,12.532228732101174,-6127.440071795991,-3153.639286559193,-1137.1480900708202
2025-07-08_14-12-53,2319.5081668102225,1800.451369615363,1330.893643555294,1462.3587116537046,6205.1075426186735,5.0728626278750175,22323.32730876775,10366.587907807008,5063.133761558103,19770.300890074628,316997.51449442306,3.9323830462832134,-20003.81914195753,-8566.136538191646,-3732.240118002809
2025-11-16_16-08-14,4641.662688809402,3049.410053865616,1740.8676200435991,3499.4472192145763,18239.48209688813,14.336298424260823,3288.8972923905812,1869.3895804189456,950.155466851196,2705.9615659715446,34812.44902385723,3.3841544244355295,1352.7653964188212,1180.0204734466706,790.7121531924031
2025-03-01_16-46-39,1587.9055410083124,1235.1248904855947,942.2032368625432,997.9531612595097,5233.842681374626,0.339188522438775,7870.745332200748,4581.478809462021,2275.408382898195,6399.897186893732,52161.29095776226,1.9053698112410697,-6282.839791192435,-3346.353918976426,-1333.205146035652
2024-06-20_16-55-50,5567.542185155828,3350.1825095734207,1894.488210000359,4446.774464264864,25892.281473318577,7.576877434296642,4168.057303596316,2710.7242954213593,1674.8334183889515,3166.176792327771,26649.08368635482,2.6131309752434047,1399.4848815595115,639.4582141520614,219.65479161140752
2023-08-04_21-47-58,16784.708695455847,8783.685607690864,2400.741828796188,14302.912750085401,82849.79727549806,4.721060678335105,12519.752014459998,4146.115426704967,966.6772209762148,11813.294094875242,121571.3820640501,5.964022962273904,4264.956680995849,4637.570180985897,1434.0646078199734
2025-09-28_20-23-16,7661.903576488501,5629.638006431678,4149.101097682731,5197.301447092256,21345.615779452473,15.11553379666832,7602.286424300969,3718.281142890857,1462.33468358959,6630.923330844134,81553.17705878917,2.227331767957744,59.617152187532156,1911.356863540821,2686.766414093141
2025-07-18_23-13-43,4651.3934241139805,2761.168732676931,1323.5630603447455,3743.181536551233,17710.381590147004,5.485514306027569,2440.7692663107823,1514.393211835082,863.6416993282379,1914.1493701681436,14750.506720088706,8.13746415143188,2210.624157803198,1246.7755208418491,459.9213610165076
2025-08-03_18-15-59,3068.09489880716,2419.5003485152915,1956.7789479801213,1886.5906741052484,9649.511175999862,12.42426371344716,7205.680533472523,3944.8468284630444,1601.6347175938638,6029.926653818429,76120.9661129612,2.779950508758988,-4137.585634665364,-1525.3464799477529,355.1442303862575
2025-07-04_17-24-46,1547.8932951097977,1188.0886336163103,869.8811236928702,992.1789413798282,5274.130072692941,5.614270869468643,2206.829042458751,1151.8340733798616,690.8855923243361,1882.3848411099582,22929.243721158364,4.691504558435353,-658.9357473489531,36.2545602364487,178.9955313685341
2023-08-06_14-48-05,2234.5366792362393,1724.8949376678943,1314.6216661345256,1420.5251229245437,6493.1290507033655,11.799394795223908,9218.167416545024,4994.13381932148,2099.948245207377,7748.111893497784,74308.27757093745,2.8237711124953186,-6983.630737308785,-3269.2388816535854,-785.3265790728515
2025-07-05_20-59-22,1132.2233667550965,860.4302406929924,633.7583676100537,735.9276819954833,4598.658000326688,1.5708826295643705,2139.3501172134893,1282.0525144927383,814.9817738640223,1712.6471539999757,21264.742431619703,1.854492305467779,-1007.1267504583927,-421.6222737997459,-181.22340625396862
2025-09-27_12-54-35,4766.194611434372,3145.1087759248476,2172.2111502623507,3581.1872139929446,57198.15243663653,8.920416942226433,17142.591182586282,3692.8964162422703,1631.37588546946,16740.100014999614,1153739.5281149126,2.519017147458141,-12376.39657115191,-547.7876403174228,540.8352647928907
2025-11-09_17-34-01,6584.62821832488,4171.906813039699,2413.648905098456,5094.361816447005,33523.109445783026,1.4130135363819847,4686.899342915196,2831.415026242344,1547.9841720744505,3734.98519405204,40140.966111371636,2.287730708183231,1897.7288754096844,1340.491786797355,865.6647330240055
2023-08-09_16-37-41,1783.4227417381576,1387.4353448376432,1082.0932878254066,1120.5444389421139,5656.69546902172,4.466425264995378,1764.0918875938232,986.9304528349431,583.4417467720893,1462.1861951001154,13488.312468665557,4.297584638830182,19.330854144334353,400.5048920027001,498.65154105331726
2023-08-09_12-47-42,14799.7405094143,8393.553138451669,1370.9487100958431,12189.363595282026,38838.576933501674,15.525513087482251,5238.001917073829,1622.9392702318166,607.78609127804,4980.234151966002,64418.2591020879,1.5043948770249655,9561.73859234047,6770.6138682198525,763.1626188178031
2025-06-18_15-09-25,21826.36873351762,17026.732480521085,11942.210418986931,13655.79558752415,45282.65139072944,15.530457872589928,7802.118774412721,4619.806522301195,2876.3590795896325,6287.3241579026935,86800.25419998153,3.9108106944050864,14024.249959104898,12406.92595821989,9065.851339397299
2025-07-31_23-36-03,3626.2163660239116,2757.048655009948,1872.2372479115663,2355.446422045616,11162.956928294827,10.124283325202997,8304.908537520558,4878.720281369374,2294.8339778593104,6720.832852611125,66704.52403820242,3.052929910054394,-4678.692171496647,-2121.6716263594258,-422.59672994774405
2025-03-01_15-04-26,2332.3942750464216,1873.0173988978536,1505.5228098338043,1389.9168599938782,5822.815662523203,9.443174055401286,3317.7044026950916,1827.1664800665724,1006.8502670549008,2769.2282603251633,35271.401168498094,4.292218500086642,-985.31012764867,45.850918831281206,498.67254277890356
2025-06-18_16-52-32,8239.137846506033,6265.059271627322,4427.608116156404,5350.927468834222,23683.979805366253,3.3255505602115414,4086.8314574395567,2199.2957707907663,991.5399890044924,3444.6029486864495,23330.211865131158,3.730058732443086,4152.306389066476,4065.763500836556,3436.068127151912
