,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-1733496.291972959,0.6932478716233348,-782873.7868420759,-918845.7470043644,-17.380624870431564,13.122758101189778,-0.6792574973028398,-0.05629349833283026,-1733496.290532014,0.6934458001927339,-782873.7699389878,-918845.7470043644
2025-06-11_20-34-24,-40041.02342111878,84.37092385782518,-18994.152733778596,-23092.81714093968,-31.34024183432524,58.23672502153647,25.958903242167054,0.33126986135443914,-40040.79664955308,84.36818535113986,-18993.95620202249,-23092.81714093968
2025-07-08_14-12-53,-4859758.760353091,-2.1844608453363925,-1994342.4239441021,-2547152.3461285136,-20.42737503669767,16.14163743241361,3.667486732010786,-0.4316044431144954,-4859758.760352384,-2.185557933551202,-1994342.4205948797,-2547152.3461285136
2025-11-16_16-08-14,-4090393.764843279,823.3361843019525,-1877521.2971815548,-2260794.1083933366,-25.44694987163804,86.43158716489148,62.26123748454369,-0.018975097939943453,-4090369.7894508946,823.0747023267861,-1877519.1722388489,-2260794.1083933366
2025-03-01_16-46-39,-459096.15378649853,10.601906720387156,-277651.66011691367,-306691.23153324565,-21.3343234145091,15.938557208154304,0.2397432159914037,-0.25612216001316135,-459096.097092986,10.596215342976983,-277651.6082789959,-306691.23153324565
2024-06-20_16-55-50,-5770645.042665653,14.768970960580624,-2544603.533345506,-3052908.5304683335,-14.851613688775274,33.85961559921189,13.452519144426105,1.413540877586673,-5770644.9311520755,14.76864940901126,-2544603.2113419394,-3052908.5304683335
2023-08-04_21-47-58,-3640584.7206833297,2.625124348146244,-987890.6855027863,-1318261.576369422,-28.21467521305783,18.501458655765944,2.2585827121787116,-0.5765155932841672,-3640584.7079349533,2.625158371981172,-987890.6530785162,-1318261.576369422
2025-09-28_20-23-16,-5063071.235359544,1.2818379767743693,-2393386.864261653,-2846367.2953435504,-8.593411526110856,27.455377258205658,12.111353819855589,0.16044674764380495,-5063071.235069156,1.2809270046298877,-2393386.7913952298,-2846367.2953435504
2025-07-18_23-13-43,-1693637.7086454644,1.7323993592604587,-715972.6949116113,-863162.3809043586,-27.04296974893822,17.847653499505718,-0.4905713040596597,-0.06547294488098032,-1693637.6106136579,1.7275971861074702,-715972.6469803312,-863162.3809043586
2025-08-03_18-15-59,-7533329.9773676405,1292.729193719158,-3344590.2854429116,-4110282.5125447656,-2.3648969635433392,30.268627345877235,10.83174008709213,0.19881045827302657,-7533329.922911581,1292.7282069781504,-3344590.213012558,-4110282.5125447656
2025-07-04_17-24-46,-1819290.8642032298,7.372159188812091,-795171.4644392977,-945354.5685930136,-19.890498870977012,13.74891342751102,-6.031615441489919,-0.4908700427687629,-1819290.7673967925,7.367904670174337,-795171.3872247767,-945354.5685930136
2023-08-06_14-48-05,-3837526.265238946,-0.5633997214460393,-1803660.853418416,-2126321.551143844,-1.298638833421819,43.69260927349845,25.61611094936961,0.4567164205959102,-3837526.1440677415,-0.5541885111957718,-1803660.494465165,-2126321.551143844
2025-07-05_20-59-22,-2501311.4039714,4.576378816819865,-1455107.5476483987,-1722147.5030139294,-20.804329116756897,26.553507726579056,4.9964788122089185,0.49736031138663694,-2501311.3975430406,4.566192248321872,-1455107.4973967357,-1722147.5030139294
2025-09-27_12-54-35,-4109754.8765986655,5.444935483078396,-1947981.0499379819,-2339825.420077759,-13.672750085077723,53.32724991492228,2.120028941228234,0.07363918677099113,-4109754.8734245347,5.448476948686661,-1947981.0431400475,-2339825.420077759
2025-11-09_17-34-01,-4139769.1168618277,-0.08423708630621718,-1285873.5773033374,-1688409.9648816076,-33.4889866683303,25.5110133316697,5.353748067057527,-0.014910367282619852,-4139769.116758225,-0.08491504606850242,-1285873.5543531573,-1688409.9648816076
2023-08-09_16-37-41,-147319.59043951923,3413.174036333012,-33728.50550317944,-59101.952840844,-7.0565695528563595,20.82630839682588,10.672091342910203,0.04025139294743596,-147319.5537123985,3413.1367757735115,-33728.425888496844,-59101.952840844
