trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,1635.8697730521428,1324.9000035873105,1093.3204142174968,959.5362915908986,4417.628892198985,7.778366860429806,920481.6167774166,784198.6868456632,787953.0420940756,481994.63313890144,1736127.4847809472,13.83061867425081,-918845.7470043644,-782873.7868420759,-786859.721679858
2025-06-11_20-34-24,3057.148944605229,2369.2239851423424,1800.3711747085604,1932.0811001940647,8754.994942501537,10.65737931923377,26149.966085544907,21363.37671892094,20163.50879993887,15080.678414468484,48221.64352301663,10.42084805924215,-23092.81714093968,-18994.152733778596,-18363.13762523031
2025-07-08_14-12-53,22780.816580716233,17890.549836210575,13159.829760350449,14102.972404507547,52332.52009996669,21.24168675187195,2569933.1627092296,2012232.9737803126,1744242.0458880793,1598585.2870660052,4888288.459414105,29.31609264845508,-2547152.3461285136,-1994342.423944102,-1731082.2161277288
2025-11-16_16-08-14,3561.5976444350677,2539.1472487922947,1541.713439435107,2497.5405962258037,12534.39337765414,7.310580814300001,2264355.706037772,1880060.4444303473,1681138.120515094,1262014.0604423485,4090480.9227062534,34.513027764684495,-2260794.1083933366,-1877521.297181555,-1679596.407075659
2025-03-01_16-46-39,1675.428785224349,1308.6120799281598,1038.5610856931432,1046.2294388060557,5383.39932094228,3.01596177982852,308366.66031847,278960.27219684183,311532.7682382085,131419.79961874298,459670.5591377787,15.076456003106196,-306691.23153324565,-277651.66011691367,-310494.20715251536
2024-06-20_16-55-50,2506.1766430425223,1901.1382836950825,1312.2849744375735,1632.9710935594671,8028.6141044264505,14.294119433571497,3055414.707111376,2546504.6716292016,2388014.4717955654,1688452.8390817286,5771984.166912541,17.609019023992186,-3052908.5304683335,-2544603.5333455065,-2386702.186821128
2023-08-04_21-47-58,11343.01916879557,6089.068835799136,2583.085843018003,9570.12667505313,48438.977529995296,17.8017000383338,1329604.5955382176,993979.7543385852,777551.2724369792,883092.6499758408,3666675.5094519877,19.15399553655171,-1318261.576369422,-987890.6855027861,-774968.1865939612
2025-09-28_20-23-16,4567.576695697558,3308.5858059952698,2246.296564539692,3148.970758112252,15936.84562587127,5.596967260221135,2850934.872039248,2396695.450067648,2429454.324821957,1543917.2789480914,5079008.080985415,14.945412592270358,-2846367.2953435504,-2393386.864261653,-2427208.028257417
2025-07-18_23-13-43,4479.604490158109,3100.098475154861,1944.9778404950612,3233.6118865113044,16983.37051082083,13.16187923779203,867641.9853945167,719072.7933867661,663076.175914709,485527.47875922744,1696464.2027693335,12.379728122203753,-863162.3809043586,-715972.6949116113,-661131.1980742139
2025-08-03_18-15-59,4848.590563765876,3085.399320811324,1616.6444910179744,3740.2060753622272,18951.3101628794,4.4486100150247045,4115131.1031085313,3347675.6847637235,2865229.67642804,2393192.7430553883,7534028.32647029,21.946435204264738,-4110282.5125447656,-3344590.285442912,-2863613.031937022
