,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-08_14-12-53,-317771.8006661174,50461.46398516842,4663.762661967938,-6948.636105785197,-20.42737503669767,16.14163743241361,3.667486732010786,-11.435981646436659,-317771.78784308874,50461.43926161102,4663.730326509237,-6948.636105785197
2025-11-09_17-34-01,-41285.558377931295,30369.35224162327,607.5804705530993,859.746126066796,-33.4889866683303,25.5110133316697,5.353748067057527,-13.253482454303313,-41285.556870029475,30369.35120215273,606.5822831782058,859.746126066796
2023-08-09_12-47-42,,,,,,,,,,,,
2025-08-03_18-15-59,-1047870.7044743457,17883.165845514763,-636.6950322937944,-6324.309056872718,-2.3648969635433392,30.268627345877235,10.83174008709213,-5824.283775347788,-1246265.241121282,17882.740693155174,-656.489883663265,-6324.309056872718
2025-07-05_20-59-22,,,,,,,,,,,,
2025-07-18_23-13-43,-13295.8089601207,16306.758595340441,1582.3110008402573,2034.287061978434,-27.04296974893822,17.847653499505718,-0.4905713040596597,-1.3491829876263033,-13295.875057336427,16306.595508845863,1582.0116185738557,2034.287061978434
2025-03-01_15-04-26,,,,,,,,,,,,
2025-03-01_16-46-39,,,,,,,,,,,,
2025-09-27_12-54-35,-4479161.09037708,50343.89400051894,-13132.1457516157,-217419.50591118308,-13.672750085077723,53.32724991492228,2.120028941228234,-384.52978505922334,-4479161.073083784,50339.47097481441,-13132.629361736774,-217419.50591118308
2025-07-31_23-36-03,-63435.78716883448,18971.10246018422,-1764.154407708535,-3956.8958066887317,-29.252744185217125,10.580506058211522,-9.864742559165283,-10.048396938992054,-63435.78934088147,18941.493550788353,-1765.0380161524768,-3956.8958066887317
2025-07-04_17-24-46,-23302.187899055727,3471.6010789063444,-187.4498574235462,-972.5017781381946,-19.890498870977012,13.74891342751102,-6.031615441489919,-0.3426029560525805,-23302.1387994628,3471.0140018510756,-187.45175951977612,-972.5017781381946
2024-06-20_16-55-50,,,,,,,,,,,,
2023-08-06_14-48-05,,,,,,,,,,,,
2025-11-16_16-08-14,-34880.65517454343,11579.746753171945,676.312378610687,277.7942199229169,-25.44694987163804,86.43158716489148,62.26123748454369,1.1477161177505835,-34877.659204673044,11572.275676726951,672.9559502489686,277.7942199229169
2025-07-11_13-33-16,,,,,,,,,,,,
2023-08-09_16-37-41,,,,,,,,,,,,
2025-06-11_20-34-24,-30137.18266931976,7631.987689618561,-2910.58317169945,-5594.529285774312,-31.34024183432524,58.23672502153647,25.958903242167054,0.2461296310986718,-30137.013973924655,7631.950988411989,-2911.0978331430497,-5594.529285774312
2023-08-04_21-47-58,,,,,,,,,,,,
2025-06-18_15-09-25,-57758.126511961,67134.04305077942,18503.75378886849,21623.55667239718,-38.82052180494918,42.86276713716832,9.940752198768815,-2.870370317726522,-57758.12581625937,67133.96449784555,18503.66135549002,21623.55667239718
2025-06-18_16-52-32,-19464.4492982815,20265.149950119092,4319.57024165612,3841.2904115483007,-17.65708010623054,29.043429189570034,10.340252944489448,-0.734022864263407,-19464.44767383229,20244.515820410732,4319.270417885252,3841.2904115483007
2025-09-28_20-23-16,-22274.58482594693,13966.997100014854,908.7570682277865,704.1109972272902,-8.593411526110856,27.455377258205658,12.111353819855589,-9.126002038461404,-22274.515039852322,13966.98784522244,907.1039570935328,704.1109972272902
median,-38083.106776237364,18427.13415284949,641.9464245818931,-347.35377910763884,-22.937162454167854,28.249403223887846,7.647250132913171,-5.998186178093963,-38081.60803735126,18412.117121971765,639.7691167135872,-347.35377910763884
mean,-476055.4648599827,25139.415146446907,1020.9973703511725,-16324.842018031457,-22.37966070432331,33.82345307733622,10.295832641954737,-481.73676484923993,-491316.2178355198,25133.378241831393,1018.6444747290244,-16324.842018031457
std,1187432.7885097244,18375.558338987597,6553.2863789565035,58461.57334302221,9.811640222442739,20.593183906273786,17.278366283736446,1545.558633775772,1195928.4461543479,18377.18444020337,6553.80289619517,58461.57334302221
