,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-55105.536458171664,3554.2464511678263,-2759.7457437949274,-4958.532588510245,-17.380624870431564,13.122758101189778,-0.6792574973028398,-6.556815893448184,-55105.52915018237,3554.1254397744237,-2759.8547770266446,-4958.532588510245
2025-06-11_20-34-24,-29898.220898662126,8537.641466477387,-2644.6298068169517,-5445.275657516218,-31.34024183432524,58.23672502153647,25.958903242167054,0.2460897837088254,-29898.05224389782,8537.614406387933,-2645.506015993825,-5445.275657516218
2025-07-08_14-12-53,-315646.08815624774,50657.60762078002,7530.453414853103,457.4892719484815,-20.42737503669767,16.14163743241361,3.667486732010786,-13.638049683747674,-315646.0753359402,50657.60774089274,7530.403867416031,457.4892719484815
2025-11-16_16-08-14,-34447.374293143155,11582.094666728406,669.7576683733487,272.7003520444864,-25.44694987163804,86.43158716489148,62.26123748454369,1.1038852669751975,-34444.37857206382,11574.37923222515,666.2774030620918,272.7003520444864
2025-03-01_16-46-39,-50776.2333507393,5115.400132442985,-3272.866729533862,-6195.316546976399,-21.3343234145091,15.938557208154304,0.2397432159914037,-4.423472667287584,-50776.235884142145,5115.161992394856,-3272.9631065082713,-6195.316546976399
2024-06-20_16-55-50,-24150.10367078214,6994.588622074547,-809.869658203044,-1661.8806605537939,-14.851613688775274,33.85961559921189,13.452519144426105,-0.2942894590096863,-24150.10420945754,6991.956633771299,-810.0634011558406,-1661.8806605537939
2023-08-04_21-47-58,-74504.96660116236,40443.10688374889,1942.9534090941686,-1176.7328456644282,-28.21467521305783,18.501458655765944,2.2585827121787116,-5.54312040704303,-74504.96649522553,40442.63731421523,1942.83871929619,-1176.7328456644282
2025-09-28_20-23-16,-79965.40427205349,13421.53680919415,-409.69533689558745,-3034.7097286034113,-8.593411526110856,27.455377258205658,12.111353819855589,-13.333779610065694,-79965.34123939407,13421.403998248046,-411.4069437232106,-3034.7097286034113
2025-07-18_23-13-43,-13292.590615721894,16305.897771091693,1585.705263319779,2038.8352238473267,-27.04296974893822,17.847653499505718,-0.4905713040596597,-1.3491787304342076,-13292.656727562506,16305.734918414377,1585.407352866634,2038.8352238473267
2025-08-03_18-15-59,-73989.6450694389,18146.59975739818,-859.4475076517206,-2357.089969706647,-2.3648969635433392,30.268627345877235,10.83174008709213,-11.747400525818685,-73989.62858985305,18145.499328556198,-860.6919980187226,-2357.089969706647
2025-07-04_17-24-46,-22683.661846067593,3464.987074087119,-105.37534100116923,-843.3909845759192,-19.890498870977012,13.74891342751102,-6.031615441489919,-0.33231426958725496,-22683.61276195975,3464.455428839834,-105.38167816933291,-843.3909845759192
