,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-1734525.0456096195,0.6762810039002503,-782266.1733764674,-917965.8323957853,-17.46593534853371,12.59822246623494,-0.6988698399976939,-0.03551586609188995,-1734525.0430755196,0.6764786923158468,-782266.1641994547,-917965.8323957853
2025-06-11_20-34-24,-41520.074239139285,85.05665495032787,-18390.247201758004,-22758.659456558726,-31.36895777292154,58.892889657128336,25.987806541856013,0.38673833858299744,-41520.071515039075,85.05367502164586,-18390.125716367813,-22758.659456558726
2025-07-08_14-12-53,-4880856.097803332,-2.1962414983951994,-2005890.2868865526,-2562002.7143187914,-19.989436241764196,16.88871012946879,3.7170513881691227,-0.46592664137735795,-4880856.097788023,-2.197025290485385,-2005890.2788317094,-2562002.7143187914
2025-11-16_16-08-14,-4088808.3511182256,867.5299815238034,-1878301.5064487087,-2261901.4547960693,-25.44648615606213,87.48039275122596,62.25303054808517,-0.024350877823145822,-4088806.9355541468,867.261313693587,-1878298.5906737742,-2261901.4547960693
2025-03-01_16-46-39,-453276.11635340704,10.602868111056317,-276051.18896088935,-303958.8978368795,-20.183088167930322,15.880244202424937,0.23321624900792545,-0.2617919561919164,-453276.11414628825,10.597222455031279,-276051.1557374161,-303958.8978368795
2024-06-20_16-55-50,-5771440.193229897,14.660654139892586,-2543698.0760596045,-3051480.985293364,-13.20706785599043,33.48757811590791,13.476595987892642,1.4090784053809386,-5771439.914078955,14.667903827277115,-2543697.8748289915,-3051480.985293364
2023-08-04_21-47-58,-3605175.76953138,2.320061837775029,-985043.1861896825,-1311716.6291394643,-28.473749138263315,18.44028476086497,2.2621087832319176,-0.5858686150772545,-3605175.7636128822,2.3200723070023628,-985043.1371824527,-1311716.6291394643
2025-09-28_20-23-16,-5073519.036822512,1.2886449981617858,-2393346.7369037787,-2846476.2739471574,-8.109616620561383,29.573292434850487,12.121604785109792,0.16269379625430602,-5073519.036002119,1.2877311200138308,-2393346.665075756,-2846476.2739471574
2025-07-18_23-13-43,-1686385.7090522356,1.7130784132252934,-715399.2059976252,-862636.4641251622,-27.044735536857615,15.948417695531738,-0.5164322400890511,-0.06323537105324206,-1686385.6822602828,1.7089987082475258,-715399.1627048585,-862636.4641251622
2025-08-03_18-15-59,-7533860.03143369,1520.987293217384,-3343917.1394440793,-4108402.282099965,-3.574627455731708,29.12716941319401,10.818449595455164,0.18372830959523156,-7533859.798678432,1520.9847361450963,-3343917.0661104163,-4108402.282099965
2025-07-04_17-24-46,-1819955.5468625487,7.364170274861166,-793578.0745866244,-943076.8422029825,-21.894607519878406,13.595897754540069,-6.040430742142968,-0.5060199412263282,-1819955.2800029959,7.359917517693116,-793578.0256246375,-943076.8422029825
2023-08-06_14-48-05,-3839985.4365540347,2747.8029969185873,-1803996.3763676027,-2126754.3735829103,-1.299606112889137,43.442567553174904,25.619853912523016,0.46043759924077676,-3839984.6103132763,2747.802090727717,-1803995.7567172009,-2126754.3735829103
2025-07-05_20-59-22,-2502888.6568138995,4.5865342363486725,-1456715.8588738649,-1725179.5793254322,-21.192789060463912,26.074473884806054,5.004106724406966,0.49769629127257,-2502888.6475918745,4.576200643324842,-1456715.798764353,-1725179.5793254322
2025-09-27_12-54-35,-4109891.924165187,5.4664975850225375,-1946639.0720711814,-2338633.601123151,-11.761394279479049,55.23860572052095,2.131053584525888,0.12952103764096679,-4109891.92252328,5.470014885070924,-1946639.067961063,-2338633.601123151
2025-11-09_17-34-01,-4140675.73292185,-0.00618442086991422,-1286165.4062660346,-1688782.511016257,-33.60773936793734,25.39226063206266,5.3935918606106705,0.03191643510670694,-4140675.732767603,-0.006838016028297034,-1286165.3774004586,-1688782.511016257
2023-08-09_16-37-41,-145494.4719299407,0.6306127279352225,-34917.91318537816,-60496.72223705995,-7.056593537440293,20.813953337921113,10.704480118434534,0.06709189952523431,-145494.44290209972,0.5488327324262379,-34917.74768406847,-60496.72223705995
2023-08-09_12-47-42,-1014402.6848880016,-2.999269562968699,-576598.8008724172,-667182.0252813573,2.3841031014152065,61.33920187839035,42.10208722854568,0.33438126918601085,-1014402.559725535,-2.9764546438621657,-576597.0341844861,-667182.0252813573
2025-06-18_15-09-25,-278679.7609648872,261.2533851420402,-152666.32446715003,-163871.2754696247,-38.83687823655907,42.90200171935423,9.961242506561272,0.06024513693513178,-278679.75761918357,261.25357658377465,-152666.31517793928,-163871.2754696247
2025-07-31_23-36-03,-6102161.741957924,0.6403787928302549,-2793026.92925597,-3355998.22575048,-30.140614403764253,9.738707690772443,-9.872120234217308,-0.288168877941656,-6102161.618290089,0.6777413879830565,-2793026.8390703253,-3355998.22575048
2025-03-01_15-04-26,-136219.00057969496,2.967557290534417,-66549.27315949545,-74860.81721201283,-12.529633774448804,20.136359555234137,5.474258325408517,-0.05481617461083221,-136218.99560929424,2.9615738756789725,-66549.25102181282,-74860.81721201283
2025-06-18_16-52-32,-2010381.8361786862,729.7415873613124,-1320238.837938285,-1474914.8364607608,-17.50091282572568,29.656078763861586,10.336990677442696,0.5044716989586302,-2010381.7270256346,729.5517124935809,-1320238.7907002303,-1474914.8364607608
median,-2502888.6568138995,4.5865342363486725,-1286165.4062660346,-1474914.8364607608,-19.989436241764196,26.074473884806054,5.474258325408517,0.06024513693513178,-2502888.6475918745,4.576200643324842,-1286165.3774004586,-1474914.8364607608
mean,-2885135.9943556357,284.757912603596,-1293616.4554899628,-1561089.3563423632,-18.558627388797785,31.487353818285296,10.72472427664675,0.09102504696459136,-2885135.8363033836,284.73434888683715,-1293616.1637621922,-1561089.3563423632
std,2124815.0657747798,655.0855104467387,936536.703735547,1139456.392332752,10.648241561184493,19.05513250676506,15.793969416696342,0.4180796546325427,2124814.979870264,655.0695006275205,936536.6607649691,1139456.392332752
