trajectory,geo_rmse,geo_mean,geo_median,geo_std,geo_max,geo_min,baseline_rmse,baseline_mean,baseline_median,baseline_std,baseline_max,baseline_min,diff_rmse,diff_mean,diff_median
2025-07-11_13-33-16,2515.7843816313234,1932.5134691957994,1312.3328346702947,1610.7646464449472,7516.098727945162,12.58069462953669,920481.6167774166,784198.6868456632,787953.0420940756,481994.63313890144,1736127.4847809472,13.83061867425081,-917965.8323957853,-782266.1733764674,-786640.7092594053
2025-06-11_20-34-24,3391.306628986182,2973.1295171629354,2700.832548148205,1631.3986410378413,6758.169364508052,10.65871479710223,26149.966085544907,21363.37671892094,20163.50879993887,15080.678414468484,48221.64352301663,10.42084805924215,-22758.659456558726,-18390.247201758004,-17462.676251790665
2025-07-08_14-12-53,7930.448390438261,6342.686893760212,5224.286622717495,4760.497310274131,21686.36423959016,27.11985115005988,2569933.1627092296,2012232.9737803126,1744242.0458880793,1598585.2870660052,4888288.459414105,29.31609264845508,-2562002.7143187914,-2005890.2868865523,-1739017.7592653618
2025-11-16_16-08-14,2454.2512417024195,1758.9379816384203,1176.2132946412198,1711.5742268881083,10217.666606769473,15.977051183352144,2264355.706037772,1880060.4444303473,1681138.120515094,1262014.0604423485,4090480.9227062534,34.513027764684495,-2261901.4547960693,-1878301.506448709,-1679961.9072204528
2025-03-01_16-46-39,4407.762481590519,2909.083235952495,1213.7898785694963,3311.4354622153173,13555.547031891683,10.854072211729784,308366.66031847,278960.27219684183,311532.7682382085,131419.79961874298,459670.5591377787,15.076456003106196,-303958.8978368795,-276051.18896088935,-310318.978359639
2024-06-20_16-55-50,3933.7218180115756,2806.5955695969333,1828.7078244139616,2756.299811381041,12451.054915392095,4.394347676537785,3055414.707111376,2546504.6716292016,2388014.4717955654,1688452.8390817286,5771984.166912541,17.609019023992186,-3051480.985293364,-2543698.0760596045,-2386185.7639711513
2023-08-04_21-47-58,17887.96639875329,8936.56814890284,2316.7826483269587,15495.7120392366,84387.75410668958,14.187013086502702,1329604.5955382176,993979.7543385852,777551.2724369792,883092.6499758408,3666675.5094519877,19.15399553655171,-1311716.6291394643,-985043.1861896823,-775234.4897886523
2025-09-28_20-23-16,4458.5980920903185,3348.713163869198,2245.649818432665,2943.674080621117,14194.990907232745,5.50969165351383,2850934.872039248,2396695.450067648,2429454.324821957,1543917.2789480914,5079008.080985415,14.945412592270358,-2846476.2739471574,-2393346.736903779,-2427208.6750035244
2025-07-18_23-13-43,5005.521269354447,3673.5873891407978,2573.2119243363422,3399.9998341625624,15361.010675703272,14.058910254664577,867641.9853945167,719072.7933867661,663076.175914709,485527.47875922744,1696464.2027693335,12.379728122203753,-862636.4641251622,-715399.2059976252,-660502.9639903726
2025-08-03_18-15-59,6728.821008566451,3758.545319643832,1991.9642924945174,5581.251584143891,30711.079272314204,12.952675126390968,4115131.1031085313,3347675.6847637235,2865229.67642804,2393192.7430553883,7534028.32647029,21.946435204264738,-4108402.282099965,-3343917.1394440797,-2863237.7121355454
