,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-08_14-12-53,-318376.89867282764,20623.63021033676,-6884.100280482428,-21799.00429606317,-19.989436241764196,16.88871012946879,3.7170513881691227,-11.470303844699522,-318376.8754180263,20623.59528840251,-6884.12791032011,-21799.00429606317
2025-11-09_17-34-01,-39187.26310196263,32171.12165675249,315.7515078560642,487.19999141715925,-33.60773936793734,25.39226063206266,5.3935918606106705,-13.206655651913987,-39187.262940505694,32171.120590104223,314.75923587670246,487.19999141715925
2023-08-09_12-47-42,,,,,,,,,,,,
2025-08-03_18-15-59,-1047369.2260738718,29025.547422275038,36.45096653871309,-4444.078612072143,-3.574627455731708,29.12716941319401,10.818449595455164,-5824.298857496466,-1245764.0995816393,28868.787788582948,16.657018478390082,-4444.078612072143
2025-07-05_20-59-22,,,,,,,,,,,,
2025-07-18_23-13-43,-13290.721102279196,14684.09796912308,2155.7999148261947,2560.203841174772,-27.044735536857615,15.948417695531738,-0.5164322400890511,-1.346945413798565,-13290.787237088081,14683.95743190979,2155.4958940465344,2560.203841174772
2025-03-01_15-04-26,,,,,,,,,,,,
2025-03-01_16-46-39,,,,,,,,,,,,
2025-09-27_12-54-35,-4479367.451464094,49900.594519719074,-11790.167884815608,-216227.68695657523,-11.761394279479049,55.23860572052095,2.131053584525888,-384.47390320835336,-4479367.427284455,49896.17312372222,-11790.654182753035,-216227.68695657523
2025-07-31_23-36-03,-64280.90204360248,17397.714432799163,-2084.4518550373255,-4168.8674281229405,-30.140614403764253,9.738707690772443,-9.872120234217308,-10.035369510014752,-64280.904069369135,17394.939644240476,-2085.339648205552,-4168.8674281229405
2025-07-04_17-24-46,-22846.963444750545,11759.517070944476,1405.9399952496765,1305.2246118928047,-21.894607519878406,13.595897754540069,-6.040430742142968,-0.3577528545101458,-22846.945566014092,11759.105564396745,1405.9098406194082,1305.2246118928047
2024-06-20_16-55-50,,,,,,,,,,,,
2023-08-06_14-48-05,,,,,,,,,,,,
2025-11-16_16-08-14,-34881.33635714071,8003.606749870595,-103.89688854318679,-829.5521828097312,-25.44648615606213,87.48039275122596,62.25303054808517,1.142340337867381,-34878.329262054365,7999.319343303849,-106.46248467617254,-829.5521828097312
2025-07-11_13-33-16,,,,,,,,,,,,
2023-08-09_16-37-41,,,,,,,,,,,,
2025-06-11_20-34-24,-30069.759347440136,5696.392826092956,-2306.6776396788573,-5260.371601393359,-31.36895777292154,58.892889657128336,25.987806541856013,0.3015981083272301,-30069.595280184218,5696.3616795301805,-2307.2673474883686,-5260.371601393359
2023-08-04_21-47-58,,,,,,,,,,,,
2025-06-18_15-09-25,-46334.75370064944,78487.97127784169,21301.855427094713,25137.733019863856,-38.83687823655907,42.90200171935423,9.961242506561272,-2.84743085558625,-46334.722609154865,78487.93978421533,21301.759444716612,25137.733019863856
2025-06-18_16-52-32,-20705.685545631695,27730.734406558742,5004.615224486141,5171.396763373038,-17.50091282572568,29.656078763861586,10.336990677442696,-0.7325401829840494,-20705.682584510774,27710.09580182004,5004.343078360813,5171.396763373038
2025-09-28_20-23-16,-21249.381876512754,13301.325795640747,948.8844261017141,595.1323936200511,-8.109616620561383,29.573292434850487,12.121604785109792,-9.123754989850903,-21249.342836784836,13299.373037626674,947.2302765667536,595.1323936200511
median,-37034.29972955167,19010.67232156796,176.10123719738866,-171.17609569628598,-23.670546837970267,29.35023092402225,7.6774171835859715,-5.985592922718577,-37032.79610128003,19009.267466321493,165.70812717754626,-171.17609569628598
mean,-474999.58788156265,25214.84051227098,628.931088522554,-16741.834350107012,-22.53435025040097,34.137281175887196,10.30532734268865,-481.7257821911308,-490260.3669823898,25200.002811090497,626.0008724922712,-16741.834350107012
std,1187850.1884189076,19111.822382670824,7218.592260405292,58387.87347338395,9.884856027359652,21.106696584016593,17.277963832613292,1545.565334179987,1196349.9679479902,19109.35183140083,7218.858873133503,58387.87347338395
