,Min Horizontal Error (m),Max Horizontal Error (m),Mean Horizontal Error (m),RMSE Horizontal Error (m),Min Vertical Error (m),Max Vertical Error (m),Mean Vertical Error (m),RMSE Vertical Error (m),Min 3D Error (m),Max 3D Error (m),Mean 3D Error (m),RMSE 3D Error (m)
2025-07-11_13-33-16,-55163.19417476086,6458.028508912135,-2152.1322781864387,-4078.617979931064,-17.46593534853371,12.59822246623494,-0.6988698399976939,-6.536038261207244,-55163.18615459981,6457.899351436727,-2152.249037493596,-4078.617979931064
2025-06-11_20-34-24,-29830.797576782505,6544.82050772377,-2040.7242747963583,-5111.117973135266,-31.36895777292154,58.892889657128336,25.987806541856013,0.3015582609373837,-29830.63355015738,6544.802912550043,-2041.6755303391433,-5111.117973135266
2025-07-08_14-12-53,-316251.186162958,20671.096740149347,-4017.4095275972627,-14392.87891832949,-19.989436241764196,16.88871012946879,3.7170513881691227,-13.672371882010538,-316251.1629108777,20671.048268423874,-4017.4543694133163,-14392.87891832949
2025-11-16_16-08-14,-34448.05547574043,8002.5100263547165,-110.45159878052503,-834.6460506881617,-25.44648615606213,87.48039275122596,62.25303054808517,1.0985094870919951,-34445.04862944514,7998.266726170475,-113.14103186304945,-834.6460506881617
2025-03-01_16-46-39,-50824.46121905246,12639.173831849464,-1672.3955735095265,-3462.9828506102285,-20.183088167930322,15.880244202424937,0.23321624900792545,-4.429142463466339,-50824.46360968376,12638.086446032621,-1672.5105649284862,-3462.9828506102285
2024-06-20_16-55-50,-26333.344435505966,11225.331234852503,95.58762769880656,-234.33548558474058,-13.20706785599043,33.48757811590791,13.476595987892642,-0.29875193121542054,-26333.344975443222,11225.173539188823,95.27311179184852,-234.33548558474058
2023-08-04_21-47-58,-62783.53762099453,76762.9464237797,4790.452722197872,5368.214384293293,-28.473749138263315,18.44028476086497,2.2621087832319176,-5.552473428836118,-62783.55314916345,76762.91377375986,4790.354615359819,5368.214384293293
2025-09-28_20-23-16,-79434.62974692728,13149.967451374783,-369.5679790216596,-3143.6883322106505,-8.109616620561383,29.573292434850487,12.121604785109792,-13.331532561455193,-79434.58536141716,13149.003345845897,-371.28062424998933,-3143.6883322106505
2025-07-18_23-13-43,-13287.502757880391,14683.236945143854,2159.1941773057165,2564.752003043665,-27.044735536857615,15.948417695531738,-0.5164322400890511,-1.3469411566064693,-13287.56890731416,14683.096594071989,2158.8916283393123,2564.752003043665
2025-08-03_18-15-59,-73877.13942615633,29051.293157797983,-186.30150881921276,-476.8595249060718,-3.574627455731708,29.12716941319401,10.818449595455164,-11.76248267449648,-73877.12115136816,28925.518697612973,-187.54509587706747,-476.8595249060718
2025-07-04_17-24-46,-22228.43739176241,11811.36023237386,1488.0145116720535,1434.33540545508,-21.894607519878406,13.595897754540069,-6.040430742142968,-0.3474641680448203,-22228.419528511044,11809.770642690304,1487.9799219698511,1434.33540545508
2023-08-06_14-48-05,-70572.54739851203,7709.25086506375,-3056.0039112783443,-6664.250492739449,-1.299606112889137,43.442567553174904,25.619853912523016,-0.929232161956179,-70572.40435650147,7708.298612986975,-3056.120619358454,-6664.250492739449
2025-07-05_20-59-22,-20882.914950413633,3975.860860026772,-352.17583447078783,-840.7356451327059,-21.192789060463912,26.074473884806054,5.004106724406966,-3.2751598412747116,-20882.903983705008,3955.8397213168523,-352.5005727872265,-840.7356451327059
2025-09-27_12-54-35,-1153323.1306734018,56101.50972562522,145.35039262873082,-11966.20556563844,-11.761394279479049,55.23860572052095,2.131053584525888,-6929.643675206694,-1157517.3995070108,56022.43443180837,105.64298916904491,-11966.20556563844
2025-11-09_17-34-01,-39598.86297708995,34192.50309284141,423.91335885226243,945.2339724241865,-33.60773936793734,25.39226063206266,5.3935918606106705,-12.727333612063152,-39598.78365300425,34192.46271095551,422.890952040061,945.2339724241865
2023-08-09_16-37-41,-11951.832577405386,3405.614920457475,-12.435037526119403,-495.85958798666957,-7.056593537440293,20.813953337921113,10.704480118434534,-0.7738408684926377,-11951.79931966327,3405.6076061679423,-12.592597870774673,-495.85958798666957
2023-08-09_12-47-42,-34949.43353961563,29420.226869279224,3601.7855819192846,3909.6345581574096,2.3841031014152065,61.33920187839035,42.10208722854568,1.190448034608245,-34949.41095819634,29411.606897441146,3600.7654994081536,3909.6345581574096
2025-06-18_15-09-25,-46279.80741624879,78597.40616329592,21164.855456574584,25331.746355759704,-38.83687823655907,42.90200171935423,9.961242506561272,-3.0359008473215283,-46279.77632550612,78597.26011041929,21164.742944678717,25331.746355759704
