,rmse,max,min,mean,std,median,95th,5th,drift
2025-06-18_15-09-25,976.5553315027503,11817.352174669208,-1579.6713373256541,629.1084439471339,1399.0982080100482,262.640244150335,2512.3724392190393,-599.740639511938,658.2286450870438
2025-09-27_18-10-16,-403.82645552697204,1774.0551165646198,-11829.984294239579,-61.370167246183016,1282.0538412961223,-16.055884561535095,1392.8915652485798,-1265.2353845708053,-531.3505993775948
2025-07-31_23-36-03,-680.3305235103273,3866.953202206805,-9003.40120988797,-459.4851645499594,1077.2397880622834,-117.22118791659616,409.2034732932486,-2877.5856219801594,-182.12298368807097
2025-03-01_150426,385.7352547975179,5557.339883732071,-2532.92191845407,498.1048110697072,765.0909682097041,412.9296523529131,1651.4669801339141,-495.50483713876434,254.89113753139947
2025-06-27_11-54-35,-565.9893751814325,7584.424577398204,-11723.36714629877,-318.34107756654316,1408.4640048891952,-165.41912174262274,1492.288478177089,-2627.2479957724654,-114.37337921151597
2025-07-04_17-24-46,205.84953373568624,12555.738699283735,-5271.141685319968,-108.2842813668368,1574.2911377876037,-39.73296956159356,1862.3372760213426,-2618.9268673273555,118.20997311349026
2023-08-06_144805,-70.25444930443973,991.2059830759877,-2966.0093568892953,-46.121926043306765,297.0101532860273,-34.39499979698189,386.39643151221594,-487.73522759897196,-28.3538136206259
2025-03-01_164639,359.76557310620774,6667.675068416387,-2560.4129808466714,458.83178625306067,848.8931386201883,239.3087632650269,1872.653269303689,-472.3372633346199,241.40839947480853
2025-09-26_19-03-38,1353.0734394461065,13624.444184840739,-4288.032664563409,987.099644782349,2018.731259958569,340.55398930983984,4461.085275584592,-866.3378321207363,294.82292591732136
2025-06-18_16-52-32,58.32207427173557,1913.7898169733212,-896.2020873575443,27.633527225891058,183.6240316225833,-0.22960070187042447,279.12423021239465,-92.68635780714988,26.526780464718644
2023-08-04_214758,-841.3116040081368,50009.2254853122,-31513.312865944754,-10.950111023058195,3122.67161607499,25.252749622839815,737.5106936838821,-327.5024109759911,-343.8212934986142
2023-08-09_163741,8430.649068812421,141324.9555130398,-8499.362297900167,1122.9179978765953,9706.549251114084,41.17093665691726,1544.0313170041031,-281.51204203766554,11768.257715286823
2025-07-18_23-13-43,-8.417950121376634,2812.593658548627,-4186.679930035301,-4.254133628981495,125.76955331438641,-0.9674252720819609,23.24782430704886,-18.828876780400208,-5.449491177298306
mean,707.6784552322878,20038.44256646629,-7450.038444235626,208.83764228691294,1831.498996326599,72.9103958311223,1432.662250284703,-1002.3985659197713,935.1441551001451
std,2309.3934774100585,37107.01776892027,7800.4083054815765,468.52798788001644,2403.585178361605,173.22440067249278,1134.196534195865,984.1938309805879,3140.6662752557027
