trajectory,geo_rmse,geo_mean,geo_median,baseline_rmse,baseline_mean,baseline_median,diff_rmse,diff_mean,diff_median
2023-08-04_21-47-58,16784.708695455847,8783.685607690866,2400.741828796188,1329604.5955382176,993979.7543385853,777551.2724369793,-1312819.8868427617,-985196.0687308945,-775150.5306081831
2023-08-06_14-48-05,2234.5366792362393,1724.8949376678943,1314.6216661345256,2129308.290506716,1805934.5062756462,1882807.7596816272,-2127073.7538274797,-1804209.6113379782,-1881493.1380154926
2023-08-09_12-47-42,14799.7405094143,8393.553138451669,1370.9487100958431,676329.6617565886,581823.5257245684,651207.8666501367,-661529.9212471743,-573429.9725861168,-649836.9179400408
2023-08-09_16-37-41,1783.4227417381576,1387.4353448376432,1082.0932878254066,61764.9545366671,35892.408600686984,9545.423269770014,-59981.531794928946,-34504.97325584934,-8463.329981944607
2024-06-20_16-55-50,5567.542185155828,3350.1825095734207,1894.488210000359,3055414.707111376,2546504.6716292016,2388014.4717955654,-3049847.16492622,-2543154.489119628,-2386119.983585565
2025-03-01_15-04-26,2332.3942750464216,1873.0173988978536,1505.5228098338043,77718.93194346213,68449.8795259548,70818.16733551612,-75386.53766841571,-66576.86212705696,-69312.64452568232
2025-03-01_16-46-39,1587.9055410083124,1235.1248904855947,942.2032368625432,308366.66031847,278960.27219684183,311532.7682382085,-306778.75477746164,-277725.14730635623,-310590.56500134594
2025-06-11_20-34-24,2374.9845303254574,1850.1874316340854,1288.6177679248453,26149.966085544907,21363.37671892094,20163.50879993887,-23774.98155521945,-19513.189287286856,-18874.891032014024
2025-06-18_15-09-25,21826.36873351762,17026.73248052108,11942.210418986931,197005.14059979713,178450.98644602584,192530.25552160598,-175178.7718662795,-161424.25396550476,-180588.04510261904
2025-06-18_16-52-32,8239.137846506033,6265.059271627322,4427.608116156404,1484622.9548756268,1327670.4550950765,1626380.778004938,-1476383.8170291209,-1321405.3958234491,-1621953.1698887816
2025-07-04_17-24-46,1547.8932951097977,1188.08863361631,869.8811236928702,946718.0066508964,796217.9231716763,804588.7532366156,-945170.1133557865,-795029.83453806,-803718.8721129227
2025-07-05_20-59-22,1132.2233667550965,860.4302406929925,633.7583676100537,1726478.193797513,1457645.665829476,1769552.221033729,-1725345.9704307579,-1456785.235588783,-1768918.4626661188
2025-07-08_14-12-53,2319.5081668102225,1800.4513696153629,1330.893643555294,2569933.1627092296,2012232.9737803128,1744242.0458880793,-2567613.6545424196,-2010432.5224106975,-1742911.152244524
2025-07-11_13-33-16,1598.5917309883332,1254.1567628036262,914.6950316118597,920481.6167774166,784198.6868456632,787953.0420940756,-918883.0250464282,-782944.5300828596,-787038.3470624638
2025-07-18_23-13-43,4651.3934241139805,2761.1687326769315,1323.5630603447455,867641.9853945167,719072.7933867662,663076.1759147091,-862990.5919704027,-716311.6246540893,-661752.6128543643
2025-07-31_23-36-03,3626.2163660239116,2757.048655009948,1872.2372479115663,3360362.222844661,2795978.0390070365,2469627.274120107,-3356736.0064786375,-2793220.9903520267,-2467755.036872195
2025-08-03_18-15-59,3068.09489880716,2419.5003485152915,1956.7789479801213,4115131.1031085313,3347675.684763723,2865229.67642804,-4112063.008209724,-3345256.1844152077,-2863272.89748006
2025-09-27_12-54-35,4766.194611434371,3145.108775924847,2172.2111502623507,2343809.986740099,1950477.7570309832,1891729.4459731784,-2339043.7921286644,-1947332.6482550583,-1889557.234822916
2025-09-28_20-23-16,7661.903576488501,5629.638006431679,4149.101097682731,2850934.872039248,2396695.4500676477,2429454.3248219574,-2843272.968462759,-2391065.812061216,-2425305.2237242744
2025-11-09_17-34-01,6584.62821832488,4171.906813039699,2413.648905098456,1694414.6443315966,1289419.9825961778,934880.4644087822,-1687830.0161132717,-1285248.0757831382,-932466.8155036838
2025-11-16_16-08-14,4641.662688809402,3049.410053865616,1740.8676200435991,2264355.706037772,1880060.4444303468,1681138.120515094,-2259714.0433489624,-1877011.0343764813,-1679397.2528950502
