trajectory,geo_rmse,geo_mean,geo_median,baseline_rmse,baseline_mean,baseline_median,diff_rmse,diff_mean,diff_median
2023-08-04_21-47-58,11343.019168795568,6089.068835799137,2583.085843018003,1329604.5955382176,993979.7543385853,777551.2724369793,-1318261.576369422,-987890.6855027862,-774968.1865939613
2023-08-06_14-48-05,2986.7393628719174,2273.652857230073,1804.647552042129,2129308.290506716,1805934.5062756462,1882807.7596816272,-2126321.551143844,-1803660.853418416,-1881003.1121295851
2023-08-09_12-47-42,17747.330854824293,10134.964581721233,1347.4401586004992,676329.6617565886,581823.5257245684,651207.8666501367,-658582.3309017643,-571688.5611428472,-649860.4264915362
2023-08-09_16-37-41,2663.0016958231004,2163.903097507549,1894.313670802731,61764.9545366671,35892.408600686984,9545.423269770014,-59101.952840844,-33728.50550317943,-7651.109598967283
2024-06-20_16-55-50,2506.1766430425223,1901.1382836950825,1312.2849744375735,3055414.707111376,2546504.6716292016,2388014.4717955654,-3052908.5304683335,-2544603.5333455065,-2386702.186821128
2025-03-01_15-04-26,1406.6493796605819,1126.9356965406446,873.620120270853,77718.93194346213,68449.8795259548,70818.16733551612,-76312.28256380155,-67322.94382941416,-69944.54721524527
2025-03-01_16-46-39,1675.428785224349,1308.6120799281598,1038.5610856931432,308366.66031847,278960.27219684183,311532.7682382085,-306691.23153324565,-277651.66011691367,-310494.20715251536
2025-06-11_20-34-24,3057.148944605229,2369.223985142342,1800.3711747085604,26149.966085544907,21363.37671892094,20163.50879993887,-23092.81714093968,-18994.152733778596,-18363.13762523031
2025-06-18_15-09-25,29619.688782705744,22986.560340649557,22873.573029063988,197005.14059979713,178450.98644602584,192530.25552160598,-167385.45181709138,-155464.42610537627,-169656.682492542
2025-06-18_16-52-32,8378.012063041197,6746.572173961758,5637.6817803106815,1484622.9548756268,1327670.4550950765,1626380.778004938,-1476244.9428125857,-1320923.8829211148,-1620743.0962246275
2025-07-04_17-24-46,1363.4380578828316,1046.4587323786925,767.9027567936841,946718.0066508964,796217.9231716763,804588.7532366156,-945354.5685930136,-795171.4644392977,-803820.8504798219
2025-07-05_20-59-22,4330.690783583602,2538.1181810775215,992.9508246838012,1726478.193797513,1457645.665829476,1769552.221033729,-1722147.5030139294,-1455107.5476483984,-1768559.2702090451
2025-07-08_14-12-53,22780.816580716233,17890.549836210575,13159.829760350449,2569933.1627092296,2012232.9737803128,1744242.0458880793,-2547152.3461285136,-1994342.4239441021,-1731082.2161277288
2025-07-11_13-33-16,1635.8697730521428,1324.9000035873105,1093.3204142174968,920481.6167774166,784198.6868456632,787953.0420940756,-918845.7470043644,-782873.7868420759,-786859.721679858
2025-07-18_23-13-43,4479.604490158109,3100.098475154861,1944.9778404950612,867641.9853945167,719072.7933867662,663076.1759147091,-863162.3809043586,-715972.6949116114,-661131.198074214
2025-07-31_23-36-03,4575.968715615674,3271.407198395544,2247.4615031853996,3360362.222844661,2795978.0390070365,2469627.274120107,-3355786.2541290456,-2792706.631808641,-2467379.8126169215
2025-08-03_18-15-59,4848.590563765875,3085.399320811324,1616.6444910179744,4115131.1031085313,3347675.684763723,2865229.67642804,-4110282.5125447656,-3344590.2854429116,-2863613.031937022
2025-09-27_12-54-35,3984.5666623399775,2496.7070930013824,2023.8972568024724,2343809.986740099,1950477.7570309832,1891729.4459731784,-2339825.420077759,-1947981.0499379819,-1889705.5487163758
2025-09-28_20-23-16,4567.576695697558,3308.5858059952698,2246.296564539692,2850934.872039248,2396695.4500676477,2429454.3248219574,-2846367.2953435504,-2393386.8642616523,-2427208.0282574175
2025-11-09_17-34-01,6004.679449989019,3546.4052928404376,1898.8637321969268,1694414.6443315966,1289419.9825961778,934880.4644087822,-1688409.9648816076,-1285873.5773033374,-932981.6006765852
2025-11-16_16-08-14,3561.5976444350677,2539.1472487922942,1541.713439435107,2264355.706037772,1880060.4444303468,1681138.120515094,-2260794.1083933366,-1877521.2971815546,-1679596.407075659
