trajectory,geo_rmse,geo_mean,geo_median,baseline_rmse,baseline_mean,baseline_median,diff_rmse,diff_mean,diff_median
2023-08-04_21-47-58,17887.966398753288,8936.56814890284,2316.7826483269587,1329604.5955382176,993979.7543385853,777551.2724369793,-1311716.6291394643,-985043.1861896825,-775234.4897886524
2023-08-06_14-48-05,2553.9169238055747,1938.1299080431345,1464.0815671190526,2129308.290506716,1805934.5062756462,1882807.7596816272,-2126754.3735829103,-1803996.376367603,-1881343.678114508
2023-08-09_12-47-42,9147.636475231238,5224.724852151101,1444.4092155566582,676329.6617565886,581823.5257245684,651207.8666501367,-667182.0252813573,-576598.8008724173,-649763.45743458
2023-08-09_16-37-41,1268.2322996071537,974.4954153088237,780.308446750831,61764.9545366671,35892.408600686984,9545.423269770014,-60496.72223705995,-34917.91318537816,-8765.114823019183
2024-06-20_16-55-50,3933.7218180115756,2806.595569596933,1828.7078244139616,3055414.707111376,2546504.6716292016,2388014.4717955654,-3051480.985293364,-2543698.0760596045,-2386185.7639711513
2025-03-01_15-04-26,2858.114731449305,1900.6063664593514,1086.6054719176384,77718.93194346213,68449.8795259548,70818.16733551612,-74860.81721201283,-66549.27315949545,-69731.56186359849
2025-03-01_16-46-39,4407.762481590519,2909.083235952495,1213.7898785694963,308366.66031847,278960.27219684183,311532.7682382085,-303958.8978368795,-276051.18896088935,-310318.978359639
2025-06-11_20-34-24,3391.306628986182,2973.1295171629354,2700.832548148205,26149.966085544907,21363.37671892094,20163.50879993887,-22758.659456558726,-18390.247201758004,-17462.676251790665
2025-06-18_15-09-25,33133.865130172424,25784.661978875778,23371.457671801574,197005.14059979713,178450.98644602584,192530.25552160598,-163871.2754696247,-152666.32446715006,-169158.7978498044
2025-06-18_16-52-32,9708.118414865934,7431.617156791779,6312.366633545347,1484622.9548756268,1327670.4550950765,1626380.778004938,-1474914.8364607608,-1320238.8379382847,-1620068.4113713927
2025-07-04_17-24-46,3641.164447913831,2639.848585051915,1852.988417198564,946718.0066508964,796217.9231716763,804588.7532366156,-943076.8422029825,-793578.0745866244,-802735.764819417
2025-07-05_20-59-22,1298.6144720807836,929.8069556111683,653.2468058293571,1726478.193797513,1457645.665829476,1769552.221033729,-1725179.5793254322,-1456715.8588738649,-1768898.9742278995
2025-07-08_14-12-53,7930.448390438261,6342.686893760212,5224.286622717495,2569933.1627092296,2012232.9737803128,1744242.0458880793,-2562002.7143187914,-2005890.2868865526,-1739017.7592653618
2025-07-11_13-33-16,2515.784381631323,1932.513469195799,1312.3328346702947,920481.6167774166,784198.6868456632,787953.0420940756,-917965.8323957853,-782266.1733764674,-786640.7092594053
2025-07-18_23-13-43,5005.521269354447,3673.5873891407987,2573.2119243363422,867641.9853945167,719072.7933867662,663076.1759147091,-862636.4641251622,-715399.2059976254,-660502.9639903727
2025-07-31_23-36-03,4363.997094181465,2951.1097510667537,1900.314407515341,3360362.222844661,2795978.0390070365,2469627.274120107,-3355998.22575048,-2793026.92925597,-2467726.9597125915
2025-08-03_18-15-59,6728.821008566451,3758.545319643832,1991.9642924945174,4115131.1031085313,3347675.684763723,2865229.67642804,-4108402.282099965,-3343917.1394440793,-2863237.7121355454
2025-09-27_12-54-35,5176.385616947843,3838.684959801479,3080.889875199206,2343809.986740099,1950477.7570309832,1891729.4459731784,-2338633.601123151,-1946639.0720711818,-1888648.5560979792
2025-09-28_20-23-16,4458.5980920903185,3348.713163869197,2245.649818432665,2850934.872039248,2396695.4500676477,2429454.3248219574,-2846476.2739471574,-2393346.7369037787,-2427208.675003525
2025-11-09_17-34-01,5632.1333153393825,3254.5763301434017,1996.5404290401116,1694414.6443315966,1289419.9825961778,934880.4644087822,-1688782.511016257,-1286165.4062660343,-932883.9239797421
2025-11-16_16-08-14,2454.2512417024195,1758.9379816384203,1176.2132946412198,2264355.706037772,1880060.4444303468,1681138.120515094,-2261901.4547960693,-1878301.5064487085,-1679961.9072204528
